Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average p-value
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.11	0.34	0.71	0.46	0.09	0.25	0.67	0.22	0.49	0.49	0.31	0.59	0.394166666667
PID_NFKAPPABCANONICALPATHWAY	0.81	0.25	0.18	0.69	0.57	0.08	0.94	0.15	0.19	0.23	0.00	0.65	0.395
REACTOME_HIV_INFECTION	0.78	0.18	0.26	0.89	0.07	0.99	1.00	0.49	0.01	0.01	0.05	0.02	0.395833333333
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.57	0.53	0.18	0.41	0.57	0.49	0.53	0.55	0.13	0.23	0.15	0.41	0.395833333333
PID_ECADHERIN_STABILIZATION_PATHWAY	0.43	0.31	0.24	0.22	0.43	0.26	0.67	0.37	0.54	0.03	0.58	0.67	0.395833333333
REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION	0.54	0.54	0.17	0.20	0.85	0.51	0.63	0.92	0.09	0.21	0.11	0.00	0.3975
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.51	0.43	0.99	0.28	0.03	0.13	0.36	0.17	0.05	0.23	0.94	0.65	0.3975
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	0.38	0.38	0.50	0.99	0.30	0.34	0.67	0.91	0.04	0.03	0.21	0.05	0.4
REACTOME_MITOTIC_G1_G1_S_PHASES	0.47	0.86	0.13	0.50	0.08	0.75	0.93	0.85	0.05	0.01	0.14	0.03	0.4
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.11	0.02	0.44	0.12	0.54	0.02	0.91	0.28	0.54	0.50	0.35	0.98	0.400833333333
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.30	0.01	0.33	0.19	0.45	0.33	0.92	0.32	0.68	0.11	0.17	1.00	0.400833333333
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.42	0.02	0.52	0.12	0.52	0.46	0.91	0.07	0.74	0.26	0.50	0.28	0.401666666667
WNT_SIGNALING	0.34	0.21	0.63	0.12	0.36	0.60	0.99	0.06	0.11	0.18	0.53	0.69	0.401666666667
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.60	0.48	0.28	0.22	0.02	0.04	0.99	0.09	0.00	0.75	0.57	0.78	0.401666666667
BIOCARTA_MCALPAIN_PATHWAY	0.45	0.36	0.71	0.36	0.46	0.19	0.21	0.09	0.75	0.28	0.75	0.21	0.401666666667
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION	0.06	0.53	0.11	0.70	0.54	0.63	0.89	0.31	0.68	0.24	0.11	0.04	0.403333333333
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION	0.01	0.39	0.51	0.66	0.73	0.86	0.79	0.23	0.10	0.27	0.24	0.06	0.404166666667
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.21	0.14	0.74	0.33	0.27	0.15	0.81	0.24	0.47	0.43	0.31	0.75	0.404166666667
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.66	0.32	0.50	0.67	0.14	0.98	0.99	0.29	0.08	0.05	0.07	0.12	0.405833333333
ST_INTERFERON_GAMMA_PATHWAY	0.13	0.35	0.36	0.75	0.48	0.74	0.06	0.36	0.28	0.63	0.67	0.06	0.405833333333
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	0.26	0.18	0.51	0.01	0.07	0.59	0.21	0.49	0.46	0.59	0.54	0.96	0.405833333333
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.63	0.02	0.52	0.15	0.59	0.23	0.93	0.13	0.81	0.23	0.42	0.22	0.406666666667
REACTOME_PHOSPHOLIPID_METABOLISM	0.67	0.08	0.14	0.39	0.73	0.00	1.00	0.03	0.39	0.21	0.68	0.57	0.4075
REACTOME_SIGNALING_BY_SCF_KIT	0.24	0.02	0.71	0.33	0.65	0.52	0.81	0.10	0.40	0.21	0.14	0.76	0.4075
ST_FAS_SIGNALING_PATHWAY	0.10	0.32	0.18	0.59	0.44	0.36	0.81	0.50	0.08	0.20	0.72	0.60	0.408333333333
BIOCARTA_MAL_PATHWAY	0.11	0.61	0.26	0.44	0.53	0.59	0.33	0.55	0.09	0.51	0.20	0.68	0.408333333333
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.06	0.24	0.49	0.50	0.74	0.26	1.00	0.62	0.56	0.40	0.04	0.02	0.410833333333
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.33	0.43	0.61	0.63	0.37	0.31	0.33	0.15	0.13	0.65	0.66	0.34	0.411666666667
BIOCARTA_MAPK_PATHWAY	0.34	0.44	0.42	0.25	0.52	0.32	0.91	0.47	0.20	0.13	0.35	0.60	0.4125
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.20	0.00	0.31	0.83	0.79	0.39	0.33	0.07	0.09	0.65	0.73	0.57	0.413333333333
PID_TNFPATHWAY	0.85	0.79	0.07	0.14	0.71	0.26	0.67	0.37	0.28	0.00	0.36	0.46	0.413333333333
PID_MYC_REPRESSPATHWAY	0.19	0.01	0.12	0.65	0.16	0.99	0.81	0.66	0.32	0.52	0.50	0.04	0.414166666667
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.35	0.25	0.24	0.09	0.31	0.33	0.62	0.63	0.81	0.79	0.11	0.47	0.416666666667
REACTOME_MRNA_PROCESSING	0.67	0.75	0.03	0.64	0.08	0.93	0.92	0.91	0.02	0.00	0.05	0.00	0.416666666667
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.20	0.73	0.28	0.79	0.05	0.93	0.91	0.82	0.06	0.01	0.17	0.05	0.416666666667
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	0.28	0.58	0.75	0.37	0.45	0.17	0.76	0.27	0.06	0.39	0.48	0.46	0.418333333333
REACTOME_SYNTHESIS_OF_PC	0.56	0.28	0.32	0.28	0.45	0.60	0.69	0.41	0.31	0.41	0.38	0.34	0.419166666667
REACTOME_CELL_CYCLE	0.85	0.37	0.45	0.54	0.02	0.96	1.00	0.21	0.22	0.02	0.39	0.00	0.419166666667
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.41	0.01	0.40	0.56	0.76	0.03	0.33	0.05	0.84	0.45	0.80	0.39	0.419166666667
PID_E2F_PATHWAY	0.00	0.60	0.24	0.74	0.34	0.21	0.81	0.65	0.51	0.52	0.14	0.28	0.42
KEGG_GNRH_SIGNALING_PATHWAY	0.57	0.02	0.04	0.12	0.61	0.00	0.91	0.20	0.41	0.70	0.82	0.65	0.420833333333
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.36	0.70	0.32	0.13	0.13	0.99	0.81	0.41	0.27	0.10	0.39	0.44	0.420833333333
PID_ERBB2ERBB3PATHWAY	0.03	0.31	0.28	0.54	0.55	0.80	0.67	0.14	0.34	0.11	0.43	0.87	0.4225
PID_RHOA_PATHWAY	0.28	0.82	0.07	0.04	0.21	0.35	0.67	0.17	0.32	0.37	0.92	0.85	0.4225
PID_LYSOPHOSPHOLIPID_PATHWAY	0.17	0.63	0.12	0.09	0.35	0.52	0.81	0.25	0.63	0.00	0.81	0.69	0.4225
BIOCARTA_HIVNEF_PATHWAY	0.88	0.84	0.04	0.33	0.36	0.57	0.81	0.44	0.27	0.03	0.12	0.40	0.424166666667
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.49	0.19	0.66	0.83	0.48	0.77	0.62	0.08	0.09	0.02	0.53	0.34	0.425
BIOCARTA_PAR1_PATHWAY	0.34	0.07	0.25	0.07	0.76	0.41	0.67	0.79	0.08	0.62	0.44	0.61	0.425833333333
PID_ARF6_TRAFFICKINGPATHWAY	0.74	0.48	0.58	0.05	0.30	0.33	0.67	0.24	0.55	0.71	0.01	0.46	0.426666666667
ST_JNK_MAPK_PATHWAY	0.17	0.83	0.07	0.21	0.30	0.51	0.67	0.26	0.87	0.21	0.44	0.59	0.4275
PID_SYNDECAN_2_PATHWAY	0.11	0.24	0.24	0.51	0.84	0.12	0.88	0.30	0.86	0.04	0.42	0.58	0.428333333333
PID_P53DOWNSTREAMPATHWAY	0.20	0.25	0.12	0.19	0.56	0.82	0.92	0.15	0.69	0.22	0.20	0.84	0.43
REACTOME_DNA_REPLICATION	0.80	0.45	0.31	0.23	0.02	0.99	1.00	0.92	0.17	0.02	0.16	0.10	0.430833333333
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	0.03	0.77	0.04	0.26	0.29	0.39	0.21	0.93	0.42	0.67	0.28	0.90	0.4325
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.55	0.43	0.36	0.40	0.58	0.50	0.67	0.05	0.61	0.03	0.31	0.70	0.4325
BIOCARTA_CHEMICAL_PATHWAY	0.26	0.16	0.30	0.34	0.75	0.20	0.21	0.78	0.62	0.58	0.35	0.64	0.4325
BIOCARTA_FMLP_PATHWAY	0.32	0.66	0.13	0.69	0.47	0.28	0.67	0.64	0.32	0.35	0.50	0.17	0.433333333333
BIOCARTA_CTCF_PATHWAY	0.88	0.19	0.56	0.73	0.39	0.27	0.21	0.02	0.84	0.59	0.08	0.44	0.433333333333
BIOCARTA_CALCINEURIN_PATHWAY	0.30	0.31	0.77	0.01	0.42	0.57	0.21	0.44	0.32	0.59	0.50	0.77	0.434166666667
REACTOME_TRANSLATION	0.01	0.67	0.09	0.99	0.00	0.93	1.00	1.00	0.00	0.00	0.53	0.00	0.435
PID_HNF3APATHWAY	0.02	0.20	0.25	1.00	0.74	0.80	0.67	0.10	0.60	0.01	0.38	0.47	0.436666666667
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.33	0.94	0.51	0.38	0.13	0.20	0.81	0.50	0.27	0.65	0.27	0.25	0.436666666667
PID_S1P_S1P1_PATHWAY	0.79	0.23	0.49	0.09	0.39	0.37	0.21	0.44	0.49	0.60	0.53	0.62	0.4375
PID_BETACATENIN_DEG_PATHWAY	0.84	0.12	0.18	0.31	0.10	0.83	0.65	0.36	0.25	0.51	0.31	0.79	0.4375
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	0.31	0.07	0.30	0.95	0.50	0.76	0.81	0.50	0.07	0.10	0.13	0.76	0.438333333333
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.66	0.48	0.38	0.12	0.30	1.00	0.67	0.83	0.22	0.16	0.44	0.01	0.439166666667
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.67	0.62	0.92	0.20	0.32	0.19	0.21	0.35	0.42	0.23	0.76	0.39	0.44
PID_PDGFRBPATHWAY	0.29	0.34	0.59	0.19	0.15	0.56	0.92	0.22	0.16	0.39	0.61	0.89	0.4425
KEGG_LONG_TERM_POTENTIATION	0.10	0.14	0.03	0.14	0.86	0.33	0.81	0.03	0.68	0.58	0.70	0.91	0.4425
PID_TOLL_ENDOGENOUS_PATHWAY	0.41	0.37	0.35	0.90	0.32	0.37	0.21	0.04	0.46	0.64	0.63	0.61	0.4425
REACTOME_DNA_REPAIR	0.33	0.76	0.31	0.32	0.24	0.94	0.93	0.59	0.10	0.23	0.52	0.05	0.443333333333
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.65	0.24	0.71	0.75	0.26	0.17	0.88	0.08	0.54	0.53	0.34	0.18	0.444166666667
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.21	0.66	0.56	0.08	0.73	0.08	0.81	0.36	0.27	0.11	0.90	0.57	0.445
REACTOME_FANCONI_ANEMIA_PATHWAY	0.18	0.43	0.81	0.19	0.04	0.50	0.47	0.65	0.01	0.65	0.81	0.60	0.445
REACTOME_ENOS_ACTIVATION_AND_REGULATION	0.13	0.37	0.51	0.65	0.19	0.32	0.68	0.63	0.62	0.81	0.31	0.12	0.445
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.13	0.25	0.07	0.23	0.76	0.22	0.92	0.17	0.69	0.24	0.81	0.85	0.445
BIOCARTA_IGF1MTOR_PATHWAY	0.08	0.62	0.08	0.81	0.82	0.91	0.90	0.43	0.31	0.11	0.15	0.13	0.445833333333
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.03	0.61	0.39	0.91	0.11	0.55	0.93	0.90	0.08	0.26	0.25	0.33	0.445833333333
REACTOME_MITOTIC_M_M_G1_PHASES	0.91	0.48	0.35	0.23	0.04	0.99	1.00	0.95	0.11	0.00	0.22	0.10	0.448333333333
REACTOME_SIGNALING_BY_FGFR	0.28	0.05	0.39	0.18	0.44	0.10	0.93	0.76	0.55	0.59	0.16	0.98	0.450833333333
REACTOME_SIGNALING_BY_WNT	0.63	0.68	0.53	0.65	0.08	0.61	0.81	0.87	0.03	0.00	0.40	0.12	0.450833333333
SIG_CHEMOTAXIS	0.55	0.22	0.45	0.25	0.86	0.20	0.67	0.20	0.32	0.75	0.01	0.93	0.450833333333
PID_HEDGEHOG_2PATHWAY	0.88	0.20	0.04	0.83	0.85	0.56	0.26	0.03	0.62	0.58	0.23	0.33	0.450833333333
BIOCARTA_MEF2D_PATHWAY	0.63	0.37	0.32	0.52	0.45	0.06	0.21	0.41	0.63	0.87	0.62	0.34	0.4525
KEGG_HUNTINGTONS_DISEASE	0.30	0.57	0.26	0.53	0.31	0.78	1.00	0.92	0.27	0.05	0.43	0.01	0.4525
REACTOME_G1_S_TRANSITION	0.63	0.98	0.40	0.43	0.10	0.88	0.91	0.94	0.06	0.01	0.12	0.00	0.455
PID_THROMBIN_PAR1_PATHWAY	0.38	0.65	0.38	0.05	0.21	0.69	0.67	0.06	0.60	0.77	0.13	0.87	0.455
KEGG_BETA_ALANINE_METABOLISM	0.60	0.08	0.51	0.19	0.87	0.27	0.21	0.40	0.88	0.58	0.50	0.38	0.455833333333
REACTOME_GLUTATHIONE_CONJUGATION	0.35	0.08	0.61	0.10	0.27	0.27	0.53	0.57	0.54	0.60	0.90	0.66	0.456666666667
ST_PAC1_RECEPTOR_PATHWAY	0.46	0.69	0.08	0.71	0.48	0.84	0.12	0.43	0.38	0.24	0.08	0.97	0.456666666667
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.53	0.22	0.58	0.74	0.85	0.31	0.21	0.28	0.51	0.82	0.18	0.25	0.456666666667
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.03	0.02	0.18	0.17	0.22	0.67	0.81	0.40	0.50	0.77	0.80	0.91	0.456666666667
BIOCARTA_GLYCOLYSIS_PATHWAY	0.68	0.11	0.58	0.87	0.29	0.61	0.76	0.02	0.10	0.56	0.85	0.06	0.4575
BIOCARTA_ERK5_PATHWAY	0.60	0.66	0.28	0.61	0.46	0.57	0.21	0.17	0.61	0.50	0.15	0.68	0.458333333333
KEGG_SPLICEOSOME	0.24	0.67	0.02	1.00	0.37	0.95	0.99	0.83	0.00	0.01	0.34	0.08	0.458333333333
PID_MYC_ACTIVPATHWAY	0.00	0.20	0.70	0.84	0.42	0.62	0.91	0.61	0.49	0.04	0.36	0.33	0.46
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.57	0.43	0.39	0.22	0.14	0.84	0.72	0.20	0.12	0.71	0.58	0.60	0.46
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR	0.30	0.48	0.84	0.31	0.05	1.00	0.46	0.44	0.13	0.13	0.65	0.74	0.460833333333
PID_PI3KCIPATHWAY	0.11	0.43	0.09	0.12	0.91	0.29	0.67	0.17	0.71	0.60	0.95	0.48	0.460833333333
KEGG_ENDOCYTOSIS	0.87	0.41	0.94	0.28	0.45	0.10	1.00	0.04	0.59	0.31	0.10	0.44	0.460833333333
ST_B_CELL_ANTIGEN_RECEPTOR	0.34	0.20	0.06	0.85	0.92	0.26	0.67	0.07	0.87	0.33	0.45	0.52	0.461666666667
REACTOME_PURINE_CATABOLISM	0.36	0.03	0.36	0.55	0.60	0.64	0.35	0.31	0.93	0.54	0.61	0.26	0.461666666667
KEGG_N_GLYCAN_BIOSYNTHESIS	0.11	0.93	0.07	0.14	0.22	0.51	0.67	1.00	0.81	0.15	0.34	0.61	0.463333333333
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.28	0.53	0.28	1.00	0.70	0.28	1.00	0.91	0.06	0.02	0.06	0.45	0.464166666667
BIOCARTA_NFKB_PATHWAY	0.22	0.39	0.06	0.83	0.73	0.09	0.94	0.05	0.72	0.56	0.39	0.60	0.465
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.42	0.33	0.42	0.36	0.82	0.48	0.67	0.21	0.86	0.44	0.40	0.17	0.465
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.34	0.67	0.36	0.96	0.10	0.83	0.81	0.92	0.06	0.00	0.40	0.14	0.465833333333
PID_P73PATHWAY	0.07	0.68	0.85	0.12	0.52	0.81	0.91	0.47	0.15	0.00	0.32	0.70	0.466666666667
BIOCARTA_GCR_PATHWAY	0.32	0.31	0.28	0.80	0.37	0.62	0.38	0.35	0.82	0.79	0.25	0.31	0.466666666667
REACTOME_CELL_CYCLE_CHECKPOINTS	0.95	0.62	0.22	0.23	0.36	0.65	0.93	1.00	0.06	0.02	0.48	0.08	0.466666666667
KEGG_APOPTOSIS	0.53	0.09	0.04	0.78	0.95	0.08	0.91	0.03	0.52	0.02	0.82	0.83	0.466666666667
SIG_BCR_SIGNALING_PATHWAY	0.30	0.13	0.16	0.97	0.90	0.51	0.88	0.14	0.27	0.14	0.61	0.59	0.466666666667
PID_EPHA2_FWDPATHWAY	0.18	0.22	0.53	0.47	0.63	0.95	0.21	0.41	0.39	0.48	0.18	0.96	0.4675
BIOCARTA_RAC1_PATHWAY	0.13	0.80	0.59	0.45	0.27	0.77	0.21	0.07	0.32	0.85	0.62	0.54	0.468333333333
REACTOME_IL_6_SIGNALING	0.31	0.11	0.64	0.94	0.79	0.57	0.04	0.37	0.57	0.31	0.74	0.23	0.468333333333
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.21	0.41	0.64	0.83	0.24	0.84	0.04	0.89	0.09	0.74	0.52	0.17	0.468333333333
REACTOME_CELL_CELL_COMMUNICATION	0.28	0.15	0.44	0.47	0.92	0.31	0.93	0.09	0.06	0.42	0.71	0.87	0.470833333333
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	0.58	0.75	0.38	0.33	0.45	0.15	0.67	0.59	0.49	0.56	0.03	0.68	0.471666666667
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.19	0.81	0.82	0.77	0.76	0.85	0.28	0.27	0.06	0.06	0.64	0.15	0.471666666667
BIOCARTA_INSULIN_PATHWAY	0.56	0.75	0.72	0.61	0.71	0.42	0.21	0.16	0.14	0.04	0.44	0.91	0.4725
REACTOME_CIRCADIAN_CLOCK	0.05	0.91	0.52	0.77	0.12	0.21	0.81	0.51	0.07	0.57	0.43	0.70	0.4725
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.25	0.43	0.34	0.80	0.57	0.65	0.76	0.26	0.32	0.22	0.43	0.65	0.473333333333
PID_VEGF_VEGFR_PATHWAY	0.52	0.32	0.88	0.79	0.28	0.01	0.23	0.12	0.44	0.36	0.89	0.84	0.473333333333
PID_P53REGULATIONPATHWAY	0.15	0.53	0.49	0.62	0.23	0.37	0.81	0.84	0.64	0.15	0.18	0.69	0.475
PID_AR_PATHWAY	0.89	0.79	0.08	0.38	0.75	1.00	0.81	0.16	0.11	0.02	0.40	0.32	0.475833333333
REACTOME_OPIOID_SIGNALLING	0.36	0.15	0.64	0.12	0.43	0.05	0.91	0.41	0.95	1.00	0.01	0.68	0.475833333333
KEGG_GLUTATHIONE_METABOLISM	0.51	0.07	0.55	0.12	0.24	0.34	0.67	0.93	0.82	0.73	0.24	0.50	0.476666666667
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.35	0.45	0.28	0.56	0.87	0.78	0.91	0.02	0.68	0.25	0.47	0.11	0.4775
BIOCARTA_BIOPEPTIDES_PATHWAY	0.57	0.16	0.57	0.04	0.85	0.12	0.67	0.87	0.86	0.37	0.16	0.50	0.478333333333
REACTOME_MITOTIC_PROMETAPHASE	0.65	0.28	0.22	0.79	0.10	0.97	0.93	0.85	0.78	0.04	0.01	0.12	0.478333333333
PID_IL6_7PATHWAY	0.85	0.14	0.05	0.97	0.79	0.46	0.67	0.06	0.57	0.06	0.65	0.47	0.478333333333
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.58	0.00	0.46	0.15	0.31	0.61	0.67	0.77	0.66	0.54	0.50	0.50	0.479166666667
PID_WNT_NONCANONICAL_PATHWAY	0.26	0.52	0.10	0.61	0.22	0.61	0.67	0.93	0.54	0.38	0.21	0.70	0.479166666667
BIOCARTA_NOS1_PATHWAY	0.69	0.26	0.54	0.05	0.45	0.28	0.21	0.65	0.99	0.65	0.31	0.67	0.479166666667
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.30	0.44	0.58	0.83	0.48	0.02	0.24	0.13	0.88	0.39	0.61	0.85	0.479166666667
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.61	0.94	0.39	0.82	0.12	0.97	0.81	0.99	0.00	0.00	0.08	0.03	0.48
KEGG_LYSINE_DEGRADATION	0.64	0.02	0.11	0.36	0.85	0.23	0.88	0.46	0.70	0.46	0.67	0.39	0.480833333333
BIOCARTA_IL6_PATHWAY	0.39	0.36	0.62	0.80	0.66	0.79	0.21	0.44	0.13	0.00	0.73	0.64	0.480833333333
BIOCARTA_CCR3_PATHWAY	0.35	0.43	0.14	0.74	0.71	0.71	0.21	0.94	0.42	0.59	0.20	0.34	0.481666666667
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.74	0.94	0.15	0.97	0.30	0.41	0.77	1.00	0.00	0.00	0.46	0.05	0.4825
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.61	0.98	0.39	0.84	0.27	0.93	0.94	0.58	0.04	0.03	0.01	0.17	0.4825
PID_CXCR3PATHWAY	0.13	0.48	0.18	0.22	0.86	0.68	0.67	0.20	0.82	0.17	0.85	0.54	0.483333333333
KEGG_PPAR_SIGNALING_PATHWAY	0.24	0.43	0.82	0.24	0.76	0.32	0.91	0.62	0.70	0.58	0.06	0.12	0.483333333333
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	0.47	0.86	0.66	0.86	0.03	0.90	0.67	0.96	0.00	0.01	0.37	0.02	0.484166666667
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	0.21	0.92	0.38	0.96	0.25	0.91	0.67	1.00	0.00	0.03	0.44	0.04	0.484166666667
PID_ERA_GENOMIC_PATHWAY	0.08	0.44	0.51	0.95	0.50	0.99	0.81	0.50	0.52	0.00	0.07	0.45	0.485
REACTOME_G0_AND_EARLY_G1	0.13	0.47	0.55	0.74	0.45	0.60	0.46	0.79	0.88	0.27	0.10	0.39	0.485833333333
BIOCARTA_ETS_PATHWAY	0.46	0.09	0.48	0.97	0.49	0.40	0.76	0.65	0.54	0.17	0.43	0.39	0.485833333333
ST_ADRENERGIC	0.06	0.85	0.07	0.40	0.30	0.51	0.67	0.07	0.28	0.75	0.87	1.00	0.485833333333
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.87	0.84	0.00	0.83	0.15	1.00	0.99	0.99	0.02	0.00	0.14	0.00	0.485833333333
BIOCARTA_RHO_PATHWAY	0.13	0.97	0.00	0.43	0.79	0.38	0.67	0.91	0.37	0.28	0.32	0.59	0.486666666667
KEGG_RENAL_CELL_CARCINOMA	0.26	0.18	0.22	0.79	0.77	0.01	0.81	0.25	0.52	0.60	0.43	1.00	0.486666666667
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	0.67	0.38	0.16	0.75	0.35	0.47	0.67	0.22	0.60	0.35	0.42	0.81	0.4875
REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	0.59	0.92	0.22	0.97	0.28	0.69	0.67	0.98	0.00	0.01	0.47	0.05	0.4875
PID_PS1PATHWAY	0.30	0.96	0.49	0.43	0.13	0.31	0.67	0.68	0.49	0.44	0.59	0.36	0.4875
PID_RB_1PATHWAY	0.24	0.58	0.04	0.79	0.90	0.12	0.81	0.36	0.73	0.60	0.15	0.53	0.4875
KEGG_INSULIN_SIGNALING_PATHWAY	0.24	0.22	0.38	0.19	0.86	0.33	0.92	0.26	0.73	0.36	0.53	0.84	0.488333333333
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	0.97	0.03	0.55	0.07	0.31	0.41	0.88	0.59	0.84	0.54	0.21	0.46	0.488333333333
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	0.15	0.41	0.35	0.35	0.46	0.93	0.75	0.57	0.46	0.29	0.55	0.60	0.489166666667
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.39	0.31	0.51	0.34	0.88	0.37	0.48	0.45	0.78	0.70	0.27	0.39	0.489166666667
REACTOME_SEMAPHORIN_INTERACTIONS	0.51	0.44	0.12	0.19	0.50	0.32	0.81	0.55	0.47	0.71	0.29	0.96	0.489166666667
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.82	0.66	0.52	0.82	0.09	0.97	0.81	0.98	0.00	0.00	0.17	0.03	0.489166666667
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.19	0.85	0.77	0.52	0.28	0.73	0.63	0.74	0.05	0.17	0.57	0.38	0.49
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.52	0.27	0.41	0.82	0.75	0.22	1.00	0.01	0.19	0.07	0.99	0.64	0.490833333333
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.82	0.98	0.02	0.32	0.00	1.00	1.00	1.00	0.00	0.01	0.73	0.01	0.490833333333
KEGG_ALZHEIMERS_DISEASE	0.30	0.16	0.07	0.28	0.83	0.41	1.00	0.88	0.49	0.37	0.34	0.76	0.490833333333
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.58	0.37	0.10	0.16	0.41	0.45	0.88	0.01	0.22	0.79	0.93	1.00	0.491666666667
BIOCARTA_CHREBP2_PATHWAY	0.04	0.43	0.74	0.04	0.79	0.78	0.88	0.19	0.49	0.97	0.09	0.46	0.491666666667
