Gene Set	Basal	Her2	LumA	LumB	Average p-value
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	0.79	0.69	0.84	0.01	0.5825
KEGG_ARACHIDONIC_ACID_METABOLISM	0.67	0.92	0.62	0.13	0.585
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.70	0.37	0.98	0.30	0.5875
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.65	0.43	0.53	0.74	0.5875
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.48	0.51	0.44	0.93	0.59
PID_MYC_REPRESSPATHWAY	0.41	0.11	0.98	0.86	0.59
KEGG_PROSTATE_CANCER	0.94	0.31	0.70	0.41	0.59
PID_EPOPATHWAY	0.95	0.75	0.51	0.15	0.59
PID_TRKRPATHWAY	0.88	0.74	0.33	0.41	0.59
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.92	0.52	0.64	0.28	0.59
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.50	0.75	0.62	0.50	0.5925
PID_AURORA_B_PATHWAY	0.24	0.95	0.95	0.23	0.5925
PID_WNT_SIGNALING_PATHWAY	0.73	0.52	0.72	0.40	0.5925
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	0.58	0.69	0.99	0.11	0.5925
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	0.88	0.22	0.47	0.80	0.5925
REACTOME_SEROTONIN_RECEPTORS	0.83	0.84	0.06	0.65	0.595
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	0.98	0.50	0.71	0.19	0.595
PID_NOTCH_PATHWAY	1.00	0.01	0.65	0.72	0.595
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.51	0.62	0.67	0.58	0.595
REACTOME_GLUCURONIDATION	0.63	0.59	0.97	0.21	0.6
BIOCARTA_GATA3_PATHWAY	0.98	0.34	0.46	0.62	0.6
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	0.71	0.70	0.62	0.37	0.6
REACTOME_GLYCOLYSIS	0.99	0.26	0.81	0.35	0.6025
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.57	0.69	0.16	0.99	0.6025
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.70	0.78	0.57	0.36	0.6025
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.67	0.55	0.58	0.61	0.6025
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.82	0.20	0.72	0.68	0.605
KEGG_LONG_TERM_POTENTIATION	0.57	0.79	0.87	0.19	0.605
BIOCARTA_INTEGRIN_PATHWAY	0.25	0.98	0.99	0.20	0.605
PID_VEGF_VEGFR_PATHWAY	0.57	0.85	0.95	0.05	0.605
PID_FOXM1PATHWAY	0.55	0.80	0.83	0.24	0.605
KEGG_NITROGEN_METABOLISM	0.93	0.41	0.30	0.79	0.6075
ST_MYOCYTE_AD_PATHWAY	0.90	0.22	0.63	0.68	0.6075
PID_ILK_PATHWAY	0.64	0.77	0.99	0.04	0.61
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	0.94	0.47	0.71	0.32	0.61
PID_HNF3APATHWAY	0.67	0.90	0.58	0.29	0.61
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	0.02	0.99	0.97	0.46	0.61
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.58	0.08	0.93	0.86	0.6125
BIOCARTA_CELL2CELL_PATHWAY	0.94	0.25	0.84	0.43	0.615
BIOCARTA_PLCE_PATHWAY	0.96	0.27	0.28	0.95	0.615
KEGG_MELANOMA	0.96	0.50	0.95	0.05	0.615
SA_MMP_CYTOKINE_CONNECTION	0.59	0.73	0.72	0.43	0.6175
KEGG_ENDOMETRIAL_CANCER	1.00	0.06	0.92	0.49	0.6175
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	0.54	0.52	0.97	0.45	0.62
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	0.27	0.88	0.56	0.77	0.62
KEGG_OLFACTORY_TRANSDUCTION	0.64	0.90	0.29	0.65	0.62
KEGG_GLYCEROLIPID_METABOLISM	0.84	0.49	0.30	0.86	0.6225
KEGG_COLORECTAL_CANCER	0.51	0.78	0.60	0.60	0.6225
BIOCARTA_D4GDI_PATHWAY	0.88	0.64	0.17	0.80	0.6225
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	0.73	0.43	0.97	0.37	0.625
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.28	0.47	0.82	0.93	0.625
PID_FAK_PATHWAY	0.98	0.13	0.91	0.48	0.625
KEGG_GLIOMA	1.00	0.87	0.51	0.13	0.6275
REACTOME_NEURONAL_SYSTEM	0.85	0.90	0.44	0.32	0.6275
PID_P38GAMMADELTAPATHWAY	0.80	0.24	0.62	0.86	0.63
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.78	0.56	0.41	0.77	0.63
REACTOME_INFLAMMASOMES	0.68	0.59	0.32	0.93	0.63
PID_LYSOPHOSPHOLIPID_PATHWAY	0.79	0.73	0.98	0.02	0.63
PID_CONE_PATHWAY	0.73	0.27	0.67	0.86	0.6325
KEGG_PURINE_METABOLISM	0.80	0.47	0.85	0.41	0.6325
REACTOME_MITOTIC_G1_G1_S_PHASES	1.00	0.53	0.10	0.90	0.6325
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	0.81	0.95	0.61	0.16	0.6325
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	0.89	0.62	0.56	0.46	0.6325
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.98	0.40	0.99	0.17	0.635
BIOCARTA_IL1R_PATHWAY	0.30	0.99	0.99	0.26	0.635
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.47	0.77	0.82	0.48	0.635
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.64	0.53	0.79	0.59	0.6375
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.80	0.63	0.35	0.77	0.6375
REACTOME_IL_2_SIGNALING	0.52	0.73	0.88	0.42	0.6375
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	0.79	0.84	0.52	0.40	0.6375
KEGG_STEROID_BIOSYNTHESIS	0.99	0.55	0.42	0.59	0.6375
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.88	0.48	0.30	0.89	0.6375
PID_ENDOTHELINPATHWAY	0.13	0.83	0.93	0.67	0.64
BIOCARTA_CTLA4_PATHWAY	0.44	0.41	0.78	0.93	0.64
BIOCARTA_STEM_PATHWAY	0.77	0.41	0.96	0.43	0.6425
REACTOME_CA_DEPENDENT_EVENTS	0.95	0.41	0.87	0.34	0.6425
REACTOME_ENDOGENOUS_STEROLS	0.75	0.55	0.82	0.46	0.645
KEGG_LEISHMANIA_INFECTION	0.10	0.79	0.91	0.78	0.645
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	0.78	0.44	0.76	0.61	0.6475
BIOCARTA_RELA_PATHWAY	0.68	0.67	0.61	0.63	0.6475
BIOCARTA_WNT_PATHWAY	0.66	0.78	0.85	0.30	0.6475
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.89	0.46	0.67	0.59	0.6525
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	0.69	0.54	0.49	0.89	0.6525
BIOCARTA_PPARA_PATHWAY	0.40	0.67	0.62	0.92	0.6525
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	0.76	0.59	0.58	0.68	0.6525
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.59	0.93	0.82	0.27	0.6525
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.86	0.11	0.96	0.68	0.6525
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.99	0.00	0.99	0.64	0.655
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.17	0.92	0.89	0.64	0.655
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.67	0.50	0.89	0.56	0.655
BIOCARTA_CFTR_PATHWAY	0.99	0.48	0.23	0.93	0.6575
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.65	0.62	0.51	0.85	0.6575
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	0.86	0.22	0.81	0.74	0.6575
REACTOME_BASIGIN_INTERACTIONS	0.90	0.80	0.29	0.64	0.6575
BIOCARTA_GSK3_PATHWAY	0.97	0.35	1.00	0.31	0.6575
KEGG_SULFUR_METABOLISM	0.83	0.53	0.44	0.83	0.6575
PID_S1P_S1P3_PATHWAY	0.64	0.60	0.93	0.47	0.66
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	0.47	0.94	0.74	0.49	0.66
PID_CMYB_PATHWAY	0.47	0.86	0.70	0.61	0.66
REACTOME_IMMUNE_SYSTEM	0.18	0.94	0.98	0.54	0.66
BIOCARTA_SODD_PATHWAY	0.78	0.25	0.84	0.77	0.66
REACTOME_IL_RECEPTOR_SHC_SIGNALING	0.46	0.95	0.91	0.33	0.6625
PID_ERA_GENOMIC_PATHWAY	0.84	0.07	0.82	0.92	0.6625
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.79	0.85	0.23	0.79	0.665
REACTOME_APOPTOSIS	0.44	0.98	0.29	0.95	0.665
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	0.95	0.43	0.93	0.35	0.665
BIOCARTA_AGPCR_PATHWAY	0.99	0.15	0.65	0.88	0.6675
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	0.82	0.78	0.82	0.25	0.6675
KEGG_ABC_TRANSPORTERS	0.70	0.29	0.89	0.79	0.6675
KEGG_PRION_DISEASES	0.50	0.69	0.68	0.81	0.67
BIOCARTA_PAR1_PATHWAY	1.00	0.32	1.00	0.36	0.67
BIOCARTA_MPR_PATHWAY	1.00	0.06	0.63	0.99	0.67
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.50	0.96	0.97	0.26	0.6725
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.85	0.38	0.77	0.69	0.6725
BIOCARTA_CARM1_PATHWAY	0.86	0.49	0.69	0.65	0.6725
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.96	0.28	0.63	0.82	0.6725
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.95	0.18	0.68	0.88	0.6725
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	0.95	0.16	0.81	0.77	0.6725
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.54	0.48	0.84	0.84	0.675
KEGG_PATHWAYS_IN_CANCER	0.30	0.67	0.93	0.80	0.675
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.80	0.49	0.80	0.61	0.675
BIOCARTA_MYOSIN_PATHWAY	0.99	0.30	0.99	0.43	0.6775
BIOCARTA_NFAT_PATHWAY	0.90	0.79	0.54	0.48	0.6775
REACTOME_MEIOTIC_RECOMBINATION	0.49	0.85	0.37	1.00	0.6775
BIOCARTA_LEPTIN_PATHWAY	0.97	0.47	1.00	0.27	0.6775
REACTOME_OPIOID_SIGNALLING	0.94	0.34	0.86	0.57	0.6775
BIOCARTA_FREE_PATHWAY	0.76	0.90	0.41	0.65	0.68
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.87	0.43	1.00	0.42	0.68
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.97	0.67	0.94	0.14	0.68
KEGG_SMALL_CELL_LUNG_CANCER	0.76	0.85	0.76	0.35	0.68
KEGG_MAPK_SIGNALING_PATHWAY	0.28	0.92	1.00	0.52	0.68
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.64	0.65	0.51	0.93	0.6825
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.55	0.90	0.33	0.95	0.6825
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	0.84	0.79	0.67	0.44	0.685
REACTOME_MYOGENESIS	0.99	0.41	0.99	0.35	0.685
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.86	0.22	0.69	0.97	0.685
KEGG_PHENYLALANINE_METABOLISM	0.59	0.81	0.91	0.43	0.685
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.81	0.56	0.51	0.86	0.685
REACTOME_STEROID_HORMONES	0.64	0.80	0.82	0.48	0.685
PID_IL1PATHWAY	0.15	0.85	0.96	0.79	0.6875
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.16	0.90	0.86	0.83	0.6875
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.98	0.01	0.83	0.93	0.6875
PID_PTP1BPATHWAY	0.59	0.30	0.90	0.97	0.69
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	0.58	0.96	0.61	0.61	0.69
PID_TOLL_ENDOGENOUS_PATHWAY	0.17	0.84	0.96	0.79	0.69
REACTOME_PYRIMIDINE_CATABOLISM	0.84	0.82	0.61	0.49	0.69
KEGG_SELENOAMINO_ACID_METABOLISM	0.90	0.49	0.58	0.79	0.69
KEGG_THYROID_CANCER	0.96	0.03	0.94	0.83	0.69
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.80	0.44	0.96	0.57	0.6925
BIOCARTA_NTHI_PATHWAY	0.58	0.98	0.84	0.37	0.6925
ST_G_ALPHA_I_PATHWAY	1.00	0.98	0.54	0.25	0.6925
PID_KITPATHWAY	0.77	0.74	0.91	0.35	0.6925
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.76	0.71	0.93	0.37	0.6925
REACTOME_CD28_CO_STIMULATION	0.90	0.54	0.99	0.35	0.695
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.34	0.86	1.00	0.58	0.695
PID_ALPHASYNUCLEIN_PATHWAY	0.79	0.98	0.78	0.23	0.695
PID_TCRCALCIUMPATHWAY	0.80	0.66	0.78	0.54	0.695
REACTOME_MEIOSIS	0.47	0.95	0.36	1.00	0.695
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.95	0.68	0.46	0.69	0.695
BIOCARTA_EPHA4_PATHWAY	0.77	0.94	0.84	0.24	0.6975
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.52	0.65	0.81	0.81	0.6975
ST_INTEGRIN_SIGNALING_PATHWAY	1.00	0.25	0.97	0.57	0.6975
KEGG_P53_SIGNALING_PATHWAY	0.96	0.95	0.36	0.52	0.6975
BIOCARTA_CACAM_PATHWAY	0.65	0.99	0.84	0.32	0.7
PID_AR_PATHWAY	0.82	0.62	0.56	0.80	0.7
BIOCARTA_NOS1_PATHWAY	0.99	0.48	1.00	0.33	0.7
REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10	0.98	0.35	0.48	0.99	0.7
BIOCARTA_CCR5_PATHWAY	0.91	0.88	0.65	0.36	0.7
REACTOME_SIGNAL_ATTENUATION	0.77	0.59	0.44	1.00	0.7
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	0.48	0.58	0.90	0.84	0.7
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.88	0.26	0.84	0.83	0.7025
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.45	0.91	0.59	0.86	0.7025
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	0.93	0.48	0.84	0.56	0.7025
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.44	0.86	0.65	0.86	0.7025
REACTOME_SIGNALING_BY_RHO_GTPASES	0.70	0.54	0.73	0.85	0.705
PID_RAS_PATHWAY	0.65	0.61	0.84	0.72	0.705
PID_INTEGRIN_A4B1_PATHWAY	0.99	0.54	0.96	0.33	0.705
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.90	0.68	0.69	0.55	0.705
PID_REELINPATHWAY	0.98	0.48	0.97	0.39	0.705
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	1.00	0.00	1.00	0.83	0.7075
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	0.84	0.67	0.33	0.99	0.7075
PID_INSULIN_GLUCOSE_PATHWAY	0.76	0.52	0.62	0.93	0.7075
REACTOME_UNWINDING_OF_DNA	0.98	0.34	0.52	0.99	0.7075
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.65	0.54	0.89	0.76	0.71
REACTOME_PLC_BETA_MEDIATED_EVENTS	0.97	0.60	0.96	0.31	0.71
PID_RB_1PATHWAY	0.93	0.62	0.56	0.73	0.71
PID_HIF2PATHWAY	0.45	0.88	0.70	0.81	0.71
KEGG_RIBOFLAVIN_METABOLISM	0.60	0.81	0.88	0.56	0.7125
PID_VEGFR1_2_PATHWAY	0.54	0.89	0.95	0.47	0.7125
BIOCARTA_CARM_ER_PATHWAY	0.80	0.22	0.86	0.97	0.7125
BIOCARTA_FAS_PATHWAY	0.91	0.90	0.20	0.84	0.7125
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.54	0.58	0.81	0.93	0.715
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.99	0.69	0.18	1.00	0.715
REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR	0.86	0.99	0.98	0.03	0.715
PID_RHODOPSIN_PATHWAY	0.91	0.45	0.89	0.61	0.715
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.91	1.00	0.52	0.44	0.7175
BIOCARTA_AKAP13_PATHWAY	0.98	0.35	0.84	0.70	0.7175
PID_FRA_PATHWAY	0.67	0.90	0.71	0.59	0.7175
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.86	0.62	0.93	0.46	0.7175
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.96	0.48	0.69	0.75	0.72
PID_CDC42_REG_PATHWAY	0.99	0.64	1.00	0.25	0.72
BIOCARTA_EPONFKB_PATHWAY	0.93	0.66	0.98	0.31	0.72
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.89	0.20	0.95	0.84	0.72
PID_ERBB4_PATHWAY	0.97	0.07	1.00	0.84	0.72
BIOCARTA_RANMS_PATHWAY	0.95	0.19	0.89	0.85	0.72
REACTOME_DAG_AND_IP3_SIGNALING	1.00	0.44	0.98	0.46	0.72
REACTOME_MEIOTIC_SYNAPSIS	0.81	1.00	0.22	0.85	0.72
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.95	0.48	0.84	0.62	0.7225
BIOCARTA_MTA3_PATHWAY	0.99	0.48	0.97	0.45	0.7225
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	1.00	0.20	0.86	0.83	0.7225
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	0.88	0.99	0.99	0.03	0.7225
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.59	0.66	0.89	0.75	0.7225
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	0.59	0.65	0.85	0.81	0.725
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	0.95	0.18	0.78	0.99	0.725
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	0.77	0.69	0.70	0.74	0.725
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.98	0.39	0.81	0.73	0.7275
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	0.34	0.65	0.93	0.99	0.7275
REACTOME_M_G1_TRANSITION	0.99	0.74	0.18	1.00	0.7275
REACTOME_DIABETES_PATHWAYS	0.91	0.98	0.25	0.77	0.7275
REACTOME_ION_CHANNEL_TRANSPORT	0.42	0.75	0.81	0.94	0.73
PID_AJDISS_2PATHWAY	0.74	1.00	0.63	0.56	0.7325
KEGG_BUTANOATE_METABOLISM	0.45	0.92	0.56	1.00	0.7325
PID_FASPATHWAY	1.00	0.62	0.95	0.36	0.7325
ST_ADRENERGIC	0.80	0.72	0.74	0.67	0.7325
PID_IL12_2PATHWAY	0.46	0.82	0.88	0.78	0.735
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.98	0.69	0.97	0.30	0.735
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.92	0.26	0.83	0.93	0.735
REACTOME_KERATAN_SULFATE_DEGRADATION	0.69	0.65	0.84	0.76	0.735
PID_ERBB_NETWORK_PATHWAY	0.99	0.08	0.98	0.89	0.735
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.70	0.84	0.84	0.57	0.7375
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.80	0.73	0.99	0.43	0.7375
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.98	0.94	0.53	0.50	0.7375
KEGG_ADHERENS_JUNCTION	0.98	0.09	0.96	0.92	0.7375
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.99	0.73	0.23	1.00	0.7375
BIOCARTA_SARS_PATHWAY	0.78	0.28	0.96	0.93	0.7375
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.95	0.41	0.99	0.61	0.74
ST_FAS_SIGNALING_PATHWAY	0.90	0.75	0.61	0.70	0.74
PID_REG_GR_PATHWAY	0.40	0.61	0.95	1.00	0.74
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.99	0.77	0.40	0.80	0.74
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.95	0.53	0.80	0.69	0.7425
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.99	0.73	0.62	0.63	0.7425
BIOCARTA_SHH_PATHWAY	0.95	0.23	0.99	0.80	0.7425
WNT_SIGNALING	0.47	0.78	0.96	0.77	0.745
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.73	0.95	0.38	0.92	0.745
BIOCARTA_MCALPAIN_PATHWAY	0.99	0.55	0.93	0.51	0.745
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	1.00	0.03	0.96	0.99	0.745
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.55	0.98	0.92	0.53	0.745
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	1.00	0.23	0.99	0.76	0.745
REACTOME_DARPP_32_EVENTS	1.00	0.20	0.91	0.88	0.7475
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.56	0.74	0.98	0.71	0.7475
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	0.52	0.67	0.88	0.92	0.7475
REACTOME_G2_M_CHECKPOINTS	1.00	0.82	0.18	0.99	0.7475
BIOCARTA_CBL_PATHWAY	0.84	0.61	0.71	0.83	0.7475
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.98	0.07	0.97	0.97	0.7475
KEGG_LINOLEIC_ACID_METABOLISM	0.99	0.63	0.87	0.51	0.75
KEGG_MTOR_SIGNALING_PATHWAY	0.99	1.00	0.95	0.06	0.75
REACTOME_INTERFERON_SIGNALING	0.48	0.99	0.97	0.56	0.75
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.73	0.66	0.61	1.00	0.75
BIOCARTA_HIVNEF_PATHWAY	0.52	0.91	0.57	1.00	0.75
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.80	0.73	0.99	0.48	0.75
REACTOME_DOWNSTREAM_TCR_SIGNALING	0.95	0.85	0.84	0.37	0.7525
REACTOME_ER_PHAGOSOME_PATHWAY	1.00	0.24	1.00	0.77	0.7525
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.00	0.07	0.94	1.00	0.7525
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.90	0.23	0.93	0.95	0.7525
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.76	0.80	0.99	0.46	0.7525
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	0.98	0.51	0.78	0.74	0.7525
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.77	0.38	0.97	0.89	0.7525
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.95	0.73	0.98	0.35	0.7525
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.98	0.67	0.69	0.68	0.755
PID_BMPPATHWAY	0.55	0.99	0.96	0.52	0.755
PID_ERBB2ERBB3PATHWAY	1.00	0.03	1.00	0.99	0.755
REACTOME_SIGNALING_BY_ERBB2	1.00	0.06	0.99	0.97	0.755
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.95	0.98	0.85	0.24	0.755
REACTOME_GLYCOPROTEIN_HORMONES	0.91	0.73	0.44	0.95	0.7575
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.45	0.90	0.93	0.75	0.7575
PID_TAP63PATHWAY	0.40	0.99	0.87	0.77	0.7575
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.65	0.57	0.82	0.99	0.7575
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.76	0.82	0.99	0.46	0.7575
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.52	0.73	0.84	0.94	0.7575
REACTOME_PURINE_CATABOLISM	0.63	0.81	0.82	0.77	0.7575
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.95	0.22	0.99	0.88	0.76
REACTOME_INNATE_IMMUNE_SYSTEM	0.22	0.84	1.00	0.98	0.76
KEGG_CELL_CYCLE	1.00	0.97	0.46	0.61	0.76
ST_T_CELL_SIGNAL_TRANSDUCTION	0.75	0.32	0.98	0.99	0.76
REACTOME_PURINE_SALVAGE	0.68	0.98	0.84	0.54	0.76
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.88	0.71	0.84	0.61	0.76
PID_RETINOIC_ACID_PATHWAY	0.80	0.41	0.84	1.00	0.7625
PID_S1P_S1P4_PATHWAY	0.95	0.22	0.95	0.93	0.7625
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.86	0.88	0.48	0.83	0.7625
