Gene Set	p-value
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	1.0
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	1.0
MODULE_500	1.0
MORF_ATOX1	1.0
SA_REG_CASCADE_OF_CYCLIN_EXPR	1.0
REACTOME_THE_NLRP3_INFLAMMASOME	1.0
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	1.0
REACTOME_SEROTONIN_RECEPTORS	1.0
PID_IL2_1PATHWAY	1.0
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	1.0
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	1.0
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	1.0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.0
MODULE_484	1.0
MODULE_547	1.0
MORF_RAD23B	1.0
BIOCARTA_PGC1A_PATHWAY	1.0
REACTOME_GLYCOLYSIS	1.0
GNF2_SNRK	1.0
MODULE_240	1.0
PID_SYNDECAN_3_PATHWAY	1.0
BIOCARTA_GATA3_PATHWAY	1.0
MODULE_501	1.0
BIOCARTA_ERYTH_PATHWAY	1.0
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	1.0
GCM_RAD21	1.0
GNF2_CD97	1.0
MORF_RRM1	1.0
PID_ILK_PATHWAY	1.0
KEGG_GNRH_SIGNALING_PATHWAY	1.0
KEGG_TYROSINE_METABOLISM	1.0
REACTOME_SHC_MEDIATED_CASCADE	1.0
REACTOME_MEMBRANE_TRAFFICKING	1.0
GNF2_BUB3	1.0
MODULE_325	1.0
MODULE_171	1.0
MODULE_82	1.0
BIOCARTA_CERAMIDE_PATHWAY	1.0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.0
MORF_FBL	1.0
MORF_RAD51L3	1.0
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	1.0
KEGG_LONG_TERM_POTENTIATION	1.0
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	1.0
GNF2_SMC4L1	1.0
KEGG_BETA_ALANINE_METABOLISM	1.0
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	1.0
MODULE_27	1.0
MODULE_96	1.0
MORF_IKBKG	1.0
GNF2_MYL3	1.0
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	1.0
MORF_EIF4A2	1.0
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	1.0
GNF2_SPTA1	1.0
REACTOME_IL_2_SIGNALING	1.0
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	1.0
MODULE_17	1.0
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	1.0
PID_CIRCADIANPATHWAY	1.0
MODULE_36	1.0
KEGG_PARKINSONS_DISEASE	1.0
MODULE_509	1.0
REACTOME_G_PROTEIN_ACTIVATION	1.0
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	1.0
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	1.0
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	1.0
REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	1.0
MODULE_411	1.0
MODULE_400	1.0
REACTOME_RNA_POL_III_TRANSCRIPTION	1.0
MODULE_104	1.0
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	1.0
PID_TAP63PATHWAY	1.0
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	1.0
MORF_UBE2N	1.0
MODULE_323	1.0
MODULE_478	1.0
GNF2_HMMR	1.0
GNF2_DAP3	1.0
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	1.0
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	1.0
MORF_PDPK1	1.0
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	1.0
PID_HES_HEYPATHWAY	1.0
MORF_MLLT10	1.0
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	1.0
GNF2_MAP2K3	1.0
MODULE_440	1.0
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	1.0
PID_MYC_REPRESSPATHWAY	1.0
REACTOME_SPHINGOLIPID_METABOLISM	1.0
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	1.0
MODULE_397	1.0
PID_LKB1_PATHWAY	1.0
GNF2_KPNB1	1.0
MORF_GNB1	1.0
BIOCARTA_GRANULOCYTES_PATHWAY	1.0
BIOCARTA_RARRXR_PATHWAY	1.0
PID_EPHA2_FWDPATHWAY	1.0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1.0
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	1.0
BIOCARTA_PYK2_PATHWAY	1.0
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	1.0
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	1.0
PID_EPHRINBREVPATHWAY	1.0
PID_SYNDECAN_4_PATHWAY	1.0
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	1.0
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	1.0
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	1.0
MODULE_388	1.0
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	1.0
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE	1.0
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	1.0
GNF2_MCL1	1.0
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.0
PID_HDAC_CLASSI_PATHWAY	1.0
REACTOME_EGFR_DOWNREGULATION	1.0
GNF2_CD7	1.0
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	1.0
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	1.0
BIOCARTA_BLYMPHOCYTE_PATHWAY	1.0
MODULE_11	1.0
GCM_DDX5	1.0
REACTOME_G1_S_TRANSITION	1.0
MODULE_401	1.0
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1.0
BIOCARTA_GCR_PATHWAY	1.0
REACTOME_HS_GAG_DEGRADATION	1.0
MORF_MSH3	1.0
GNF2_ANK1	1.0
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	1.0
PID_CXCR4_PATHWAY	1.0
REACTOME_CHOLESTEROL_BIOSYNTHESIS	1.0
PID_IFNGPATHWAY	1.0
GCM_ERBB2IP	1.0
REACTOME_SIGNALING_BY_BMP	1.0
GNF2_ELAC2	1.0
GCM_CSNK2B	1.0
REACTOME_METABOLISM_OF_PORPHYRINS	1.0
REACTOME_GAB1_SIGNALOSOME	1.0
MODULE_396	1.0
BIOCARTA_CELL2CELL_PATHWAY	1.0
REACTOME_ELONGATION_ARREST_AND_RECOVERY	1.0
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	1.0
MORF_PML	1.0
BIOCARTA_RAC1_PATHWAY	1.0
GCM_PPP1CC	1.0
MODULE_152	1.0
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	1.0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.0
REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER	1.0
BIOCARTA_TPO_PATHWAY	1.0
MORF_PTPN9	1.0
WNT_SIGNALING	1.0
MODULE_173	1.0
MODULE_121	1.0
MODULE_417	1.0
GCM_APEX1	1.0
REACTOME_IL1_SIGNALING	1.0
GNF2_NPM1	1.0
GNF2_ST13	1.0
PID_TOLL_ENDOGENOUS_PATHWAY	1.0
REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	1.0
BIOCARTA_CTL_PATHWAY	1.0
GNF2_MAPT	1.0
MODULE_175	1.0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1.0
REACTOME_TRNA_AMINOACYLATION	1.0
MORF_ERCC4	1.0
MODULE_38	1.0
PID_ANTHRAXPATHWAY	1.0
BIOCARTA_CHEMICAL_PATHWAY	1.0
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	1.0
MODULE_2	1.0
MODULE_125	1.0
MORF_SP3	1.0
SIG_CD40PATHWAYMAP	1.0
GCM_ANP32B	1.0
PID_IL1PATHWAY	1.0
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	1.0
MODULE_14	1.0
KEGG_PYRIMIDINE_METABOLISM	1.0
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	1.0
REACTOME_RNA_POL_I_PROMOTER_OPENING	1.0
MODULE_8	1.0
MORF_NOS2A	1.0
MORF_TNFRSF6	1.0
BIOCARTA_INTEGRIN_PATHWAY	1.0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1.0
MORF_ESR1	1.0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	1.0
MORF_RAF1	1.0
PID_E2F_PATHWAY	1.0
MORF_SS18	1.0
GNF2_S100A4	1.0
MORF_DAP3	1.0
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	1.0
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	1.0
MORF_BMPR2	1.0
BIOCARTA_DC_PATHWAY	1.0
PID_CDC42_REG_PATHWAY	1.0
MODULE_238	1.0
GCM_RING1	1.0
MODULE_122	1.0
MORF_SNRP70	1.0
MODULE_32	1.0
MODULE_301	1.0
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	1.0
MODULE_505	1.0
BIOCARTA_BCR_PATHWAY	1.0
MODULE_346	1.0
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	1.0
REACTOME_MRNA_SPLICING_MINOR_PATHWAY	1.0
MODULE_334	1.0
REACTOME_REGULATORY_RNA_PATHWAYS	1.0
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	1.0
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	1.0
REACTOME_SIGNALLING_TO_RAS	1.0
GNF2_RBBP6	1.0
KEGG_CELL_ADHESION_MOLECULES_CAMS	1.0
MORF_JAK3	1.0
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	1.0
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	1.0
BIOCARTA_ATM_PATHWAY	1.0
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	1.0
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	1.0
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	1.0
ST_ERK1_ERK2_MAPK_PATHWAY	1.0
MORF_RAB3A	1.0
MODULE_141	1.0
KEGG_AXON_GUIDANCE	1.0
PID_PI3KCIPATHWAY	1.0
REACTOME_G0_AND_EARLY_G1	1.0
BIOCARTA_P38MAPK_PATHWAY	1.0
REACTOME_PLC_BETA_MEDIATED_EVENTS	1.0
KEGG_RETINOL_METABOLISM	1.0
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	1.0
BIOCARTA_NKT_PATHWAY	1.0
PID_VEGFR1_PATHWAY	1.0
MORF_BRCA1	1.0
MODULE_358	1.0
BIOCARTA_HSP27_PATHWAY	1.0
MODULE_222	1.0
MODULE_169	1.0
PID_ENDOTHELINPATHWAY	1.0
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	1.0
PID_DNAPK_PATHWAY	1.0
REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING	1.0
GNF2_HPX	1.0
MODULE_166	1.0
MODULE_552	1.0
MODULE_430	1.0
MODULE_433	1.0
PID_AR_TF_PATHWAY	1.0
REACTOME_OLFACTORY_SIGNALING_PATHWAY	1.0
REACTOME_METAL_ION_SLC_TRANSPORTERS	1.0
BIOCARTA_CCR3_PATHWAY	1.0
MORF_CDC2L5	1.0
MODULE_470	1.0
GNF2_CENPF	1.0
MORF_PTEN	1.0
MODULE_375	1.0
MODULE_189	1.0
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	1.0
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	1.0
BIOCARTA_ASBCELL_PATHWAY	1.0
MODULE_299	1.0
MORF_FANCG	1.0
GNF2_PPP6C	1.0
PID_CD8TCRPATHWAY	1.0
GCM_SUFU	1.0
GNF2_CD48	1.0
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1.0
MODULE_63	1.0
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	1.0
REACTOME_SIGNALING_BY_HIPPO	1.0
MODULE_119	1.0
MODULE_138	1.0
GNF2_CEBPA	1.0
MORF_BNIP1	1.0
REACTOME_PEPTIDE_CHAIN_ELONGATION	1.0
MORF_TNFRSF25	1.0
GNF2_ANP32B	1.0
MORF_AP3D1	1.0
MORF_GPX4	1.0
PID_AURORA_B_PATHWAY	1.0
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	1.0
MODULE_272	1.0
REACTOME_BOTULINUM_NEUROTOXICITY	1.0
MORF_EIF4E	1.0
KEGG_PROSTATE_CANCER	1.0
GCM_CASP2	1.0
MODULE_110	1.0
MORF_PSMF1	1.0
MODULE_163	1.0
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	1.0
GNF2_VAV1	1.0
MORF_PPP2CA	1.0
BIOCARTA_MCALPAIN_PATHWAY	1.0
MODULE_85	1.0
MODULE_78	1.0
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	1.0
MODULE_25	1.0
MORF_SKP1A	1.0
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	1.0
REACTOME_MRNA_PROCESSING	1.0
PID_PRLSIGNALINGEVENTSPATHWAY	1.0
BIOCARTA_TNFR2_PATHWAY	1.0
MODULE_58	1.0
BIOCARTA_PTC1_PATHWAY	1.0
REACTOME_MYOGENESIS	1.0
REACTOME_ENDOGENOUS_STEROLS	1.0
BIOCARTA_TH1TH2_PATHWAY	1.0
MORF_PRDX3	1.0
MODULE_431	1.0
ST_GA12_PATHWAY	1.0
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	1.0
BIOCARTA_CDC42RAC_PATHWAY	1.0
PID_BETACATENIN_NUC_PATHWAY	1.0
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	1.0
MODULE_195	1.0
REACTOME_PYRIMIDINE_METABOLISM	1.0
PID_SYNDECAN_2_PATHWAY	1.0
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	1.0
MORF_RAGE	1.0
BIOCARTA_CXCR4_PATHWAY	1.0
MODULE_395	1.0
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	1.0
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	1.0
GNF2_CDKN1C	1.0
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	1.0
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	1.0
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	1.0
GCM_PTPRU	1.0
REACTOME_SIGNALING_BY_NODAL	1.0
PID_MAPKTRKPATHWAY	1.0
REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION	1.0
BIOCARTA_EPONFKB_PATHWAY	1.0
CAR_WBSCR22	1.0
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	1.0
MODULE_168	1.0
GNF2_CENPE	1.0
KEGG_PYRUVATE_METABOLISM	1.0
REACTOME_DEFENSINS	1.0
REACTOME_PLATELET_SENSITIZATION_BY_LDL	1.0
MODULE_525	1.0
PID_INTEGRIN_A4B1_PATHWAY	1.0
REACTOME_ERK_MAPK_TARGETS	1.0
REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	1.0
BIOCARTA_RHO_PATHWAY	1.0
REACTOME_CELL_CYCLE_CHECKPOINTS	1.0
REACTOME_DNA_REPAIR	1.0
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	1.0
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	1.0
MORF_JUND	1.0
PID_AVB3_INTEGRIN_PATHWAY	1.0
MODULE_102	1.0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1.0
PID_P38_MKK3_6PATHWAY	1.0
GNF2_SPRR1B	1.0
REACTOME_AXON_GUIDANCE	1.0
REACTOME_APOPTOSIS	1.0
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	1.0
PID_SYNDECAN_1_PATHWAY	1.0
KEGG_ERBB_SIGNALING_PATHWAY	1.0
BIOCARTA_TCR_PATHWAY	1.0
PID_NEPHRIN_NEPH1_PATHWAY	1.0
MODULE_563	1.0
KEGG_N_GLYCAN_BIOSYNTHESIS	1.0
REACTOME_CELL_JUNCTION_ORGANIZATION	1.0
GCM_AQP4	1.0
PID_FCER1PATHWAY	1.0
PID_S1P_S1P4_PATHWAY	1.0
REACTOME_CGMP_EFFECTS	1.0
MODULE_87	1.0
PID_TELOMERASEPATHWAY	1.0
GNF2_CARD15	1.0
MORF_AATF	1.0
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	1.0
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.0
PID_NECTIN_PATHWAY	1.0
PID_IL23PATHWAY	1.0
GNF2_CCNB2	1.0
KEGG_GLYCEROLIPID_METABOLISM	1.0
MODULE_427	1.0
KEGG_SPHINGOLIPID_METABOLISM	1.0
BIOCARTA_CASPASE_PATHWAY	1.0
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	1.0
MODULE_26	1.0
PID_RXR_VDR_PATHWAY	1.0
REACTOME_HIV_INFECTION	1.0
MORF_NME2	1.0
BIOCARTA_EPO_PATHWAY	1.0
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.0
MODULE_252	1.0
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	1.0
MORF_IFNA1	1.0
MORF_CSNK1D	1.0
MORF_TERF1	1.0
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	1.0
MODULE_503	1.0
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	1.0
BIOCARTA_CCR5_PATHWAY	1.0
MODULE_214	1.0
PID_MET_PATHWAY	1.0
REACTOME_COMPLEMENT_CASCADE	1.0
MORF_BMI1	1.0
BIOCARTA_AGPCR_PATHWAY	1.0
MODULE_49	1.0
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	1.0
ST_G_ALPHA_I_PATHWAY	1.0
KEGG_VEGF_SIGNALING_PATHWAY	1.0
MORF_ZNF10	1.0
KEGG_APOPTOSIS	1.0
REACTOME_EXTENSION_OF_TELOMERES	1.0
GNF2_HDAC1	1.0
BIOCARTA_IGF1R_PATHWAY	1.0
MORF_CCNF	1.0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1.0
MODULE_291	1.0
BIOCARTA_ACH_PATHWAY	1.0
GNF2_RAB7L1	1.0
PID_DELTANP63PATHWAY	1.0
MORF_MAP2K7	1.0
MORF_MSH2	1.0
MODULE_103	1.0
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	1.0
BIOCARTA_ACTINY_PATHWAY	1.0
KEGG_PANCREATIC_CANCER	1.0
GNF2_MYD88	1.0
MORF_ARAF1	1.0
MODULE_62	1.0
KEGG_SELENOAMINO_ACID_METABOLISM	1.0
MODULE_545	1.0
PID_BCR_5PATHWAY	1.0
MODULE_480	1.0
KEGG_ACUTE_MYELOID_LEUKEMIA	1.0
MORF_EIF3S6	1.0
MORF_FEN1	1.0
KEGG_THYROID_CANCER	1.0
MODULE_343	1.0
MORF_PRKDC	1.0
PID_MYC_PATHWAY	1.0
MORF_JAG1	1.0
GNF2_PAK2	1.0
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	1.0
MODULE_113	1.0
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	1.0
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	1.0
BIOCARTA_ECM_PATHWAY	1.0
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	1.0
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1.0
BIOCARTA_GPCR_PATHWAY	1.0
PID_FGF_PATHWAY	1.0
MODULE_48	1.0
MODULE_516	1.0
PID_AJDISS_2PATHWAY	1.0
KEGG_GLUTATHIONE_METABOLISM	1.0
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1.0
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	1.0
ST_GRANULE_CELL_SURVIVAL_PATHWAY	1.0
BIOCARTA_CDMAC_PATHWAY	1.0
MORF_ATRX	1.0
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	1.0
PID_P75NTRPATHWAY	1.0
REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION	1.0
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	1.0
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	1.0
KEGG_HISTIDINE_METABOLISM	1.0
KEGG_NITROGEN_METABOLISM	1.0
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	1.0
REACTOME_M_G1_TRANSITION	1.0
MODULE_99	1.0
MODULE_190	1.0
GNF2_SPINK1	1.0
MODULE_310	1.0
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	1.0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	1.0
KEGG_OTHER_GLYCAN_DEGRADATION	1.0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1.0
REACTOME_SIGNAL_ATTENUATION	1.0
MODULE_178	1.0
REACTOME_INSULIN_RECEPTOR_RECYCLING	1.0
BIOCARTA_THELPER_PATHWAY	1.0
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	1.0
BIOCARTA_SET_PATHWAY	1.0
REACTOME_HIV_LIFE_CYCLE	1.0
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	1.0
KEGG_CELL_CYCLE	1.0
MODULE_229	1.0
KEGG_RIBOFLAVIN_METABOLISM	1.0
REACTOME_IL_RECEPTOR_SHC_SIGNALING	1.0
BIOCARTA_FMLP_PATHWAY	1.0
KEGG_LINOLEIC_ACID_METABOLISM	1.0
PID_WNT_SIGNALING_PATHWAY	1.0
MODULE_106	1.0
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	1.0
BIOCARTA_STATHMIN_PATHWAY	1.0
MORF_RAC1	1.0
MODULE_220	1.0
MORF_XPC	1.0
MODULE_130	1.0
KEGG_NON_HOMOLOGOUS_END_JOINING	1.0
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	1.0
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	1.0
MORF_LCAT	1.0
BIOCARTA_IL17_PATHWAY	1.0
CAR_MYST2	1.0
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	1.0
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	1.0
KEGG_PATHWAYS_IN_CANCER	1.0
PID_KITPATHWAY	1.0
MORF_TTN	1.0
GNF2_CASP4	1.0
MODULE_512	1.0
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	1.0
MODULE_436	1.0
GNF2_ATM	1.0
MORF_PPP2R5B	1.0
MODULE_256	1.0
GCM_GSTA4	1.0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	1.0
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	1.0
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	1.0
MORF_PCNA	1.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	1.0
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	1.0
REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	1.0
MODULE_458	1.0
GNF2_TNFSF10	1.0
REACTOME_PI3K_AKT_ACTIVATION	1.0
GNF2_CDC20	1.0
GNF2_TIMP2	1.0
MODULE_447	1.0
MORF_PTPRR	1.0
GNF2_RFC3	1.0
MODULE_575	1.0
GCM_BMPR2	1.0
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	1.0
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	1.0
MODULE_127	1.0
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	1.0
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1.0
GNF2_GLTSCR2	1.0
PID_P53DOWNSTREAMPATHWAY	1.0
REACTOME_HEMOSTASIS	1.0
KEGG_FOCAL_ADHESION	1.0
PID_EPHA_FWDPATHWAY	1.0
BIOCARTA_INSULIN_PATHWAY	1.0
PID_MTOR_4PATHWAY	1.0
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	1.0
MODULE_320	1.0
MODULE_9	1.0
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	1.0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1.0
MODULE_416	1.0
PID_GLYPICAN_1PATHWAY	1.0
REACTOME_PI3K_CASCADE	1.0
BIOCARTA_IL12_PATHWAY	1.0
