Gene Set	p-value
PID_TCRRASPATHWAY	0.99
PID_S1P_S1P2_PATHWAY	0.99
BIOCARTA_AKAP13_PATHWAY	0.99
PID_NFKAPPABATYPICALPATHWAY	0.99
PID_CONE_PATHWAY	0.99
PID_LPA4_PATHWAY	0.99
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.99
MODULE_305	0.99
MODULE_148	0.99
REACTOME_KERATAN_SULFATE_DEGRADATION	0.99
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	0.99
MODULE_233	0.99
REACTOME_ACTIVATION_OF_RAC	0.99
SA_CASPASE_CASCADE	0.99
BIOCARTA_PTEN_PATHWAY	0.99
MODULE_543	0.99
KEGG_MISMATCH_REPAIR	0.99
BIOCARTA_CK1_PATHWAY	0.99
REACTOME_P38MAPK_EVENTS	0.99
BIOCARTA_STRESS_PATHWAY	0.99
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.99
MODULE_196	0.99
BIOCARTA_PLATELETAPP_PATHWAY	0.99
REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP	0.99
PID_ERB_GENOMIC_PATHWAY	0.99
BIOCARTA_MCM_PATHWAY	0.99
MODULE_298	0.99
BIOCARTA_HCMV_PATHWAY	0.99
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.99
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	0.99
REACTOME_ENOS_ACTIVATION_AND_REGULATION	0.99
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	0.99
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.99
BIOCARTA_IL10_PATHWAY	0.99
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	0.99
BIOCARTA_NUCLEARRS_PATHWAY	0.99
MODULE_249	0.99
BIOCARTA_INTRINSIC_PATHWAY	0.99
REACTOME_ERKS_ARE_INACTIVATED	0.99
REACTOME_SYNTHESIS_OF_PA	0.99
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.99
MODULE_360	0.99
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	0.99
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS	0.99
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.99
MODULE_90	0.99
PID_INTEGRIN5_PATHWAY	0.99
PID_THROMBIN_PAR4_PATHWAY	0.99
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.99
BIOCARTA_CELLCYCLE_PATHWAY	0.99
BIOCARTA_CYTOKINE_PATHWAY	0.99
MODULE_335	0.99
MODULE_71	0.99
PID_NFKAPPABCANONICALPATHWAY	0.99
GNF2_CDH3	0.99
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.99
PID_INTEGRIN4_PATHWAY	0.99
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.99
MODULE_42	0.99
GNF2_CDH11	0.99
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.99
REACTOME_SOS_MEDIATED_SIGNALLING	0.99
BIOCARTA_CBL_PATHWAY	0.99
MODULE_415	0.99
REACTOME_BASIGIN_INTERACTIONS	0.99
MODULE_227	0.99
MODULE_262	0.99
MODULE_203	0.99
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	0.99
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	0.99
BIOCARTA_IL3_PATHWAY	0.99
REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION	0.99
PID_IL5_PATHWAY	0.99
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.99
BIOCARTA_RAS_PATHWAY	0.99
MODULE_219	0.99
MODULE_530	0.99
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.99
BIOCARTA_PS1_PATHWAY	0.99
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM	0.99
REACTOME_TIE2_SIGNALING	0.99
MODULE_29	0.99
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.99
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.99
BIOCARTA_P53_PATHWAY	0.99
MODULE_327	0.99
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	0.99
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.99
BIOCARTA_EIF4_PATHWAY	0.99
MODULE_326	0.99
BIOCARTA_MAL_PATHWAY	0.99
MODULE_306	0.99
BIOCARTA_AKT_PATHWAY	0.99
MODULE_392	0.99
GNF2_SERPINI2	0.99
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	0.99
KEGG_STEROID_BIOSYNTHESIS	0.99
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.99
PID_LYMPHANGIOGENESIS_PATHWAY	0.99
BIOCARTA_TFF_PATHWAY	0.99
BIOCARTA_SHH_PATHWAY	0.99
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.99
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.99
BIOCARTA_TCRA_PATHWAY	0.99
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.99
REACTOME_SHC_MEDIATED_SIGNALLING	0.99
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	0.99
BIOCARTA_CARDIACEGF_PATHWAY	0.99
BIOCARTA_STEM_PATHWAY	0.99
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.99
MODULE_407	0.99
REACTOME_ARMS_MEDIATED_ACTIVATION	0.99
PID_S1P_META_PATHWAY	0.99
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.99
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.99
BIOCARTA_MITOCHONDRIA_PATHWAY	0.99
BIOCARTA_PLCE_PATHWAY	0.99
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.99
MODULE_155	0.99
GNF2_MATK	0.99
REACTOME_TRYPTOPHAN_CATABOLISM	0.99
MODULE_424	0.99
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	0.99
MODULE_50	0.99
MODULE_444	0.99
MODULE_355	0.99
BIOCARTA_ERK5_PATHWAY	0.99
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.99
BIOCARTA_ACE2_PATHWAY	0.99
REACTOME_IL_7_SIGNALING	0.99
REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR	0.99
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	0.99
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.99
MODULE_408	0.99
ST_G_ALPHA_S_PATHWAY	0.99
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.99
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.99
BIOCARTA_ARF_PATHWAY	0.99
PID_INSULIN_GLUCOSE_PATHWAY	0.99
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.99
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	0.99
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.99
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.99
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.99
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	0.99
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	0.99
PID_HEDGEHOG_2PATHWAY	0.99
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.99
MODULE_349	0.99
PID_TCRJNKPATHWAY	0.99
BIOCARTA_PTDINS_PATHWAY	0.99
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	0.99
REACTOME_ZINC_TRANSPORTERS	0.99
MODULE_191	0.99
MODULE_315	0.99
MODULE_245	0.99
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.99
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0.99
PID_ERBB_NETWORK_PATHWAY	0.99
MODULE_328	0.99
MODULE_143	0.99
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	0.99
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	0.99
REACTOME_KINESINS	0.99
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.99
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.99
BIOCARTA_41BB_PATHWAY	0.99
REACTOME_INFLAMMASOMES	0.99
REACTOME_CS_DS_DEGRADATION	0.99
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.99
MODULE_68	0.99
REACTOME_INTRINSIC_PATHWAY	0.99
BIOCARTA_IL2_PATHWAY	0.99
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	0.99
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	0.99
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.99
REACTOME_GAP_JUNCTION_ASSEMBLY	0.99
REACTOME_P2Y_RECEPTORS	0.99
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.99
GNF2_AF1Q	0.99
GCM_MYCL1	0.99
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	0.99
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.99
BIOCARTA_EXTRINSIC_PATHWAY	0.99
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	0.99
BIOCARTA_IL6_PATHWAY	0.99
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	0.99
MODULE_537	0.99
BIOCARTA_EIF_PATHWAY	0.99
MODULE_432	0.99
MODULE_56	0.99
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	0.99
BIOCARTA_DREAM_PATHWAY	0.99
BIOCARTA_TGFB_PATHWAY	0.99
BIOCARTA_SPPA_PATHWAY	0.99
MODULE_307	0.99
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.99
REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.99
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.99
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	0.99
REACTOME_AMINE_DERIVED_HORMONES	0.99
PID_PDGFRAPATHWAY	0.99
REACTOME_PURINE_SALVAGE	0.99
REACTOME_METABOLISM_OF_POLYAMINES	0.99
BIOCARTA_RELA_PATHWAY	0.99
BIOCARTA_P27_PATHWAY	0.99
REACTOME_NEPHRIN_INTERACTIONS	0.99
KEGG_PROTEIN_EXPORT	0.99
GCM_FANCL	0.99
REACTOME_RAP1_SIGNALLING	0.99
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1	0.99
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	0.99
PID_SMAD2_3PATHWAY	0.99
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.99
MODULE_186	0.99
BIOCARTA_LONGEVITY_PATHWAY	0.99
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	0.99
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX	0.99
MODULE_295	0.99
BIOCARTA_AMI_PATHWAY	0.99
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.99
MODULE_218	0.99
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.99
MODULE_519	0.99
MODULE_539	0.99
MODULE_194	0.99
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.99
BIOCARTA_COMP_PATHWAY	0.99
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.99
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.99
MODULE_354	0.99
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	0.99
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.99
REACTOME_BETA_DEFENSINS	0.99
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	0.99
REACTOME_RNA_POL_III_CHAIN_ELONGATION	0.99
SA_TRKA_RECEPTOR	0.99
REACTOME_GAP_JUNCTION_TRAFFICKING	0.99
REACTOME_UNWINDING_OF_DNA	0.99
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	0.99
MODULE_534	0.99
MODULE_311	0.99
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	0.99
BIOCARTA_ARENRF2_PATHWAY	0.99
REACTOME_REGULATION_OF_KIT_SIGNALING	0.99
MODULE_150	0.99
MODULE_474	0.99
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.99
BIOCARTA_AHSP_PATHWAY	0.99
SA_G1_AND_S_PHASES	0.99
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.99
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.99
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.99
BIOCARTA_SPRY_PATHWAY	0.99
BIOCARTA_RANKL_PATHWAY	0.99
GCM_PPM1D	0.99
GNF2_TPT1	0.99
MODULE_211	0.99
MODULE_429	0.99
MODULE_372	0.99
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.99
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.99
BIOCARTA_NKCELLS_PATHWAY	0.99
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	0.99
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	0.99
SA_B_CELL_RECEPTOR_COMPLEXES	0.99
PID_INTEGRIN_A9B1_PATHWAY	0.99
BIOCARTA_CTCF_PATHWAY	0.99
MODULE_132	0.99
BIOCARTA_NDKDYNAMIN_PATHWAY	0.99
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.99
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	0.99
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	0.99
REACTOME_HYALURONAN_METABOLISM	0.99
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.99
PID_RHODOPSIN_PATHWAY	0.99
REACTOME_PEROXISOMAL_LIPID_METABOLISM	0.99
REACTOME_POL_SWITCHING	0.99
MODULE_81	0.99
BIOCARTA_NGF_PATHWAY	0.99
MODULE_439	0.99
REACTOME_XENOBIOTICS	0.99
MODULE_133	0.99
ST_STAT3_PATHWAY	0.99
BIOCARTA_IL22BP_PATHWAY	0.99
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.99
PID_INTEGRIN_CS_PATHWAY	0.99
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	0.99
BIOCARTA_D4GDI_PATHWAY	0.99
REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1	0.99
GNF2_ZAP70	0.99
BIOCARTA_CSK_PATHWAY	0.99
PID_BETACATENIN_DEG_PATHWAY	0.99
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	0.99
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	0.99
MODULE_573	0.99
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	0.99
BIOCARTA_TALL1_PATHWAY	0.99
SA_PTEN_PATHWAY	0.99
BIOCARTA_G2_PATHWAY	0.99
KEGG_SULFUR_METABOLISM	0.99
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	0.99
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	0.99
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	0.99
PID_ECADHERIN_NASCENTAJ_PATHWAY	1.0
MORF_THPO	1.0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	1.0
REACTOME_SIGNALING_BY_RHO_GTPASES	1.0
MODULE_3	1.0
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	1.0
MODULE_180	1.0
REACTOME_INFLUENZA_LIFE_CYCLE	1.0
GCM_TINF2	1.0
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	1.0
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	1.0
MODULE_284	1.0
REACTOME_METABOLISM_OF_MRNA	1.0
MODULE_342	1.0
MODULE_357	1.0
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	1.0
MODULE_280	1.0
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	1.0
MODULE_244	1.0
PID_IL2_PI3KPATHWAY	1.0
REACTOME_DOWNSTREAM_TCR_SIGNALING	1.0
MORF_TERF2IP	1.0
MODULE_402	1.0
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.0
REACTOME_MRNA_3_END_PROCESSING	1.0
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C	1.0
MORF_EI24	1.0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.0
MORF_DAP	1.0
MORF_NPM1	1.0
PID_ATM_PATHWAY	1.0
BIOCARTA_NO1_PATHWAY	1.0
MORF_DNMT1	1.0
GNF2_RPA1	1.0
KEGG_PRION_DISEASES	1.0
GCM_RAP2A	1.0
GCM_CDH5	1.0
MODULE_356	1.0
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	1.0
MORF_MDM2	1.0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	1.0
MORF_MAP3K14	1.0
MORF_RPA2	1.0
PID_RAS_PATHWAY	1.0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1.0
MORF_CNTN1	1.0
BIOCARTA_CLASSIC_PATHWAY	1.0
MODULE_485	1.0
MORF_CDC16	1.0
MORF_TPR	1.0
PID_NCADHERINPATHWAY	1.0
MORF_RBM8A	1.0
MODULE_83	1.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	1.0
BIOCARTA_FCER1_PATHWAY	1.0
MODULE_20	1.0
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1.0
MORF_BUB1	1.0
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	1.0
MORF_XRCC5	1.0
MODULE_93	1.0
BIOCARTA_PAR1_PATHWAY	1.0
BIOCARTA_MYOSIN_PATHWAY	1.0
PID_MYC_ACTIVPATHWAY	1.0
PID_AR_PATHWAY	1.0
BIOCARTA_TOLL_PATHWAY	1.0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.0
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	1.0
PID_UPA_UPAR_PATHWAY	1.0
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	1.0
MODULE_145	1.0
MODULE_404	1.0
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	1.0
GNF2_CCNA2	1.0
REACTOME_METABOLISM_OF_NON_CODING_RNA	1.0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.0
KEGG_HOMOLOGOUS_RECOMBINATION	1.0
MODULE_66	1.0
REACTOME_ER_PHAGOSOME_PATHWAY	1.0
REACTOME_GLUCONEOGENESIS	1.0
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	1.0
MODULE_350	1.0
MORF_FLT1	1.0
MODULE_153	1.0
MODULE_116	1.0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	1.0
MORF_EPHA7	1.0
GNF2_RRM1	1.0
PID_NFAT_TFPATHWAY	1.0
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	1.0
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	1.0
KEGG_LYSOSOME	1.0
REACTOME_IRON_UPTAKE_AND_TRANSPORT	1.0
MODULE_183	1.0
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1.0
MODULE_489	1.0
KEGG_INSULIN_SIGNALING_PATHWAY	1.0
REACTOME_DNA_REPLICATION	1.0
REACTOME_DNA_STRAND_ELONGATION	1.0
PID_CXCR3PATHWAY	1.0
MODULE_200	1.0
KEGG_ASTHMA	1.0
REACTOME_REGULATION_OF_INSULIN_SECRETION	1.0
GCM_HDAC1	1.0
GNF2_CYP2B6	1.0
MORF_IL9	1.0
ST_JNK_MAPK_PATHWAY	1.0
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	1.0
GNF2_PRDX2	1.0
GCM_MSN	1.0
MORF_PRKAR1A	1.0
PID_NETRIN_PATHWAY	1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	1.0
MODULE_146	1.0
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	1.0
REACTOME_ION_CHANNEL_TRANSPORT	1.0
PID_P73PATHWAY	1.0
KEGG_PROTEASOME	1.0
MODULE_410	1.0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.0
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.0
KEGG_DILATED_CARDIOMYOPATHY	1.0
REACTOME_GABA_A_RECEPTOR_ACTIVATION	1.0
GNF2_HCK	1.0
GNF2_GSTM1	1.0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.0
MODULE_112	1.0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.0
MORF_LTK	1.0
REACTOME_METABOLISM_OF_CARBOHYDRATES	1.0
GCM_HBP1	1.0
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	1.0
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1.0
GNF2_IGFBP1	1.0
REACTOME_COLLAGEN_FORMATION	1.0
PID_PTP1BPATHWAY	1.0
GNF2_FBL	1.0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1.0
REACTOME_SIGNAL_AMPLIFICATION	1.0
GNF2_PA2G4	1.0
MODULE_136	1.0
GCM_BCL2L1	1.0
MODULE_114	1.0
MODULE_287	1.0
ST_WNT_BETA_CATENIN_PATHWAY	1.0
PID_P53REGULATIONPATHWAY	1.0
PID_IL12_STAT4PATHWAY	1.0
BIOCARTA_NFAT_PATHWAY	1.0
GNF2_EIF3S6	1.0
PID_RETINOIC_ACID_PATHWAY	1.0
MODULE_488	1.0
MODULE_303	1.0
MODULE_182	1.0
BIOCARTA_EDG1_PATHWAY	1.0
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	1.0
MODULE_16	1.0
MORF_RAD21	1.0
MORF_FOSL1	1.0
REACTOME_SIGNALING_BY_FGFR	1.0
MORF_PHB	1.0
BIOCARTA_TNFR1_PATHWAY	1.0
PID_AVB3_OPN_PATHWAY	1.0
GNF2_XRCC5	1.0
MODULE_77	1.0
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	1.0
MORF_USP5	1.0
REACTOME_SIGNALING_BY_ILS	1.0
GNF2_ITGAL	1.0
KEGG_BASAL_CELL_CARCINOMA	1.0
MODULE_277	1.0
MODULE_330	1.0
MODULE_45	1.0
REACTOME_PURINE_METABOLISM	1.0
BIOCARTA_KERATINOCYTE_PATHWAY	1.0
REACTOME_PLATELET_HOMEOSTASIS	1.0
MORF_MTA1	1.0
GCM_CSNK1A1	1.0
GCM_MAPK10	1.0
PID_PDGFRBPATHWAY	1.0
REACTOME_SIGNALING_BY_FGFR_MUTANTS	1.0
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1.0
PID_TCR_PATHWAY	1.0
GNF2_MLF1	1.0
GNF2_TYK2	1.0
MODULE_274	1.0
MORF_ANP32B	1.0
PID_IL8CXCR2_PATHWAY	1.0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1.0
GCM_CALM1	1.0
GNF2_RTN1	1.0
REACTOME_UNFOLDED_PROTEIN_RESPONSE	1.0
KEGG_CARDIAC_MUSCLE_CONTRACTION	1.0
PID_HIF1_TFPATHWAY	1.0
GNF2_PTPN6	1.0
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	1.0
MODULE_97	1.0
REACTOME_PI_METABOLISM	1.0
GCM_NCAM1	1.0
MODULE_331	1.0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	1.0
REACTOME_PACKAGING_OF_TELOMERE_ENDS	1.0
PID_AP1_PATHWAY	1.0
GNF2_INPP5D	1.0
GNF2_RAN	1.0
MODULE_210	1.0
REACTOME_SIGNALING_BY_NOTCH1	1.0
MORF_PTPN11	1.0
PID_IL12_2PATHWAY	1.0
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	1.0
MODULE_86	1.0
MODULE_91	1.0
GNF2_MSH6	1.0
MODULE_387	1.0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1.0
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	1.0
MODULE_278	1.0
MODULE_418	1.0
KEGG_RNA_POLYMERASE	1.0
PID_INTEGRIN2_PATHWAY	1.0
REACTOME_INNATE_IMMUNE_SYSTEM	1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	1.0
PID_BARD1PATHWAY	1.0
MORF_ETV3	1.0
PID_WNT_NONCANONICAL_PATHWAY	1.0
GNF2_ICAM3	1.0
GCM_MAP1B	1.0
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	1.0
MODULE_491	1.0
MORF_PSMC2	1.0
REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	1.0
PID_RHOA_REG_PATHWAY	1.0
MORF_IL13	1.0
PID_PLK1_PATHWAY	1.0
MODULE_281	1.0
MODULE_568	1.0
MORF_RAB11A	1.0
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	1.0
