Gene Set	Basal	Her2	LumA	LumB	Average p-value
KEGG_MTOR_SIGNALING_PATHWAY	0.99	0.15	0.68	0.36	0.545
PID_RAC1_REG_PATHWAY	0.72	0.76	0.35	0.36	0.5475
PID_CIRCADIANPATHWAY	0.86	0.95	0.13	0.26	0.55
PID_BETACATENIN_NUC_PATHWAY	0.63	0.11	0.75	0.71	0.55
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	0.05	0.48	0.91	0.76	0.55
REACTOME_RAF_MAP_KINASE_CASCADE	0.55	0.64	0.50	0.51	0.55
PID_IL4_2PATHWAY	0.44	0.60	0.80	0.36	0.55
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.72	0.02	0.57	0.90	0.5525
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.28	0.54	0.60	0.79	0.5525
PID_SMAD2_3PATHWAY	0.73	0.75	0.28	0.45	0.5525
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.65	0.66	0.51	0.40	0.555
BIOCARTA_IGF1R_PATHWAY	0.84	0.12	0.53	0.73	0.555
PID_P53REGULATIONPATHWAY	0.85	0.74	0.22	0.42	0.5575
BIOCARTA_EGFR_SMRTE_PATHWAY	0.77	0.95	0.36	0.15	0.5575
PID_S1P_S1P3_PATHWAY	0.31	0.53	0.53	0.87	0.56
ST_INTERLEUKIN_4_PATHWAY	0.60	0.43	0.53	0.68	0.56
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.87	0.34	0.56	0.47	0.56
REACTOME_GAP_JUNCTION_TRAFFICKING	0.35	0.54	0.97	0.38	0.56
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.34	0.05	0.92	0.94	0.5625
REACTOME_NCAM1_INTERACTIONS	0.11	0.67	0.97	0.50	0.5625
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.13	0.38	0.80	0.95	0.565
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.28	0.17	0.89	0.92	0.565
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.37	0.58	0.52	0.79	0.565
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.48	0.98	0.43	0.38	0.5675
PID_AR_TF_PATHWAY	0.25	0.42	0.87	0.73	0.5675
BIOCARTA_BIOPEPTIDES_PATHWAY	0.98	0.43	0.50	0.36	0.5675
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.52	0.22	0.92	0.61	0.5675
REACTOME_TIE2_SIGNALING	0.90	0.07	0.87	0.44	0.57
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.92	0.70	0.27	0.39	0.57
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.27	0.10	0.98	0.93	0.57
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.09	0.24	1.00	0.96	0.5725
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	0.80	0.39	0.37	0.73	0.5725
BIOCARTA_EPHA4_PATHWAY	0.14	0.92	0.72	0.51	0.5725
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.11	0.89	0.64	0.65	0.5725
PID_SMAD2_3NUCLEARPATHWAY	0.51	0.67	0.55	0.56	0.5725
REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.28	0.84	0.58	0.61	0.5775
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.57	0.92	0.44	0.38	0.5775
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.92	0.48	0.42	0.49	0.5775
BIOCARTA_ARF_PATHWAY	0.99	0.36	0.21	0.75	0.5775
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.87	0.67	0.56	0.22	0.58
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.51	0.72	0.97	0.12	0.58
REACTOME_COPI_MEDIATED_TRANSPORT	0.42	0.48	0.72	0.70	0.58
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.29	0.05	0.98	1.00	0.58
KEGG_PEROXISOME	0.32	0.10	0.93	0.97	0.58
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.86	0.78	0.20	0.49	0.5825
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.41	0.86	0.55	0.51	0.5825
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.99	0.81	0.24	0.29	0.5825
PID_IL6_7PATHWAY	0.67	0.65	0.53	0.48	0.5825
BIOCARTA_CERAMIDE_PATHWAY	0.79	0.44	0.42	0.69	0.585
REACTOME_CELL_CYCLE_MITOTIC	1.00	0.98	0.05	0.31	0.585
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.61	0.82	0.60	0.32	0.5875
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.76	0.28	0.87	0.44	0.5875
KEGG_ADHERENS_JUNCTION	0.70	0.01	1.00	0.64	0.5875
BIOCARTA_MPR_PATHWAY	1.00	0.97	0.14	0.24	0.5875
BIOCARTA_KREB_PATHWAY	0.87	0.16	0.47	0.86	0.59
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.86	0.93	0.17	0.40	0.59
PID_AVB3_INTEGRIN_PATHWAY	0.68	0.04	0.80	0.84	0.59
PID_INTEGRIN5_PATHWAY	0.78	0.17	0.96	0.45	0.59
REACTOME_CELL_CYCLE	1.00	0.96	0.07	0.33	0.59
BIOCARTA_PTDINS_PATHWAY	0.62	0.25	0.53	0.96	0.59
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.59	0.17	0.68	0.92	0.59
PID_SHP2_PATHWAY	0.94	0.42	0.69	0.31	0.59
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.58	0.53	0.75	0.50	0.59
PID_HDAC_CLASSIII_PATHWAY	0.98	0.83	0.30	0.26	0.5925
PID_AJDISS_2PATHWAY	0.83	0.21	0.80	0.53	0.5925
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.50	0.33	0.81	0.73	0.5925
REACTOME_PECAM1_INTERACTIONS	0.21	0.89	0.57	0.70	0.5925
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	0.35	0.58	0.78	0.66	0.5925
PID_INSULIN_GLUCOSE_PATHWAY	0.35	0.36	0.84	0.82	0.5925
REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	0.74	0.39	0.53	0.73	0.5975
PID_HEDGEHOG_GLIPATHWAY	0.57	0.77	0.58	0.47	0.5975
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	0.86	0.95	0.26	0.33	0.6
REACTOME_BIOLOGICAL_OXIDATIONS	0.22	0.18	1.00	1.00	0.6
BIOCARTA_LONGEVITY_PATHWAY	0.85	0.05	0.67	0.83	0.6
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.73	0.03	0.86	0.78	0.6
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	0.72	0.00	0.92	0.77	0.6025
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.36	0.67	0.53	0.85	0.6025
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.97	0.77	0.27	0.40	0.6025
PID_INSULIN_PATHWAY	0.59	0.28	0.77	0.77	0.6025
KEGG_RENAL_CELL_CARCINOMA	0.83	0.29	0.91	0.38	0.6025
BIOCARTA_FREE_PATHWAY	0.82	0.14	0.81	0.65	0.605
BIOCARTA_EIF4_PATHWAY	0.25	0.36	0.88	0.93	0.605
KEGG_BASE_EXCISION_REPAIR	0.99	0.99	0.27	0.17	0.605
REACTOME_P2Y_RECEPTORS	0.82	0.24	0.51	0.85	0.605
WNT_SIGNALING	0.58	0.13	0.87	0.85	0.6075
ST_GRANULE_CELL_SURVIVAL_PATHWAY	0.60	0.95	0.32	0.56	0.6075
BIOCARTA_CARDIACEGF_PATHWAY	0.55	0.95	0.71	0.22	0.6075
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	1.00	0.98	0.23	0.23	0.61
REACTOME_PI3K_CASCADE	0.90	0.00	0.93	0.61	0.61
PID_HNF3BPATHWAY	0.09	0.35	1.00	1.00	0.61
PID_IL8CXCR1_PATHWAY	0.29	0.51	0.71	0.93	0.61
BIOCARTA_P53HYPOXIA_PATHWAY	0.55	0.43	0.73	0.74	0.6125
REACTOME_SYNTHESIS_OF_DNA	0.91	0.70	0.31	0.53	0.6125
KEGG_O_GLYCAN_BIOSYNTHESIS	0.20	0.26	0.99	1.00	0.6125
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.83	0.17	0.51	0.94	0.6125
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	0.29	0.98	0.86	0.33	0.615
BIOCARTA_RNA_PATHWAY	0.86	0.42	0.39	0.79	0.615
PID_AURORA_A_PATHWAY	1.00	0.99	0.03	0.44	0.615
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.71	0.61	0.86	0.28	0.615
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	1.00	0.13	0.73	0.61	0.6175
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.70	0.19	0.82	0.76	0.6175
KEGG_PROTEIN_EXPORT	0.91	0.66	0.57	0.33	0.6175
PID_CERAMIDE_PATHWAY	0.50	0.44	0.73	0.80	0.6175
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.45	0.83	0.72	0.47	0.6175
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.81	0.54	0.73	0.40	0.62
REACTOME_MITOTIC_PROMETAPHASE	1.00	0.99	0.07	0.42	0.62
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	0.67	0.16	0.85	0.82	0.625
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	0.77	0.38	0.58	0.77	0.625
PID_PDGFRAPATHWAY	0.99	0.64	0.43	0.44	0.625
REACTOME_DNA_REPLICATION	1.00	0.96	0.07	0.48	0.6275
BIOCARTA_BARRESTIN_PATHWAY	0.20	0.89	0.74	0.68	0.6275
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.92	0.00	0.83	0.76	0.6275
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.83	0.34	0.71	0.63	0.6275
PID_ENDOTHELINPATHWAY	0.61	0.59	0.66	0.66	0.63
PID_P75NTRPATHWAY	0.85	0.50	0.51	0.66	0.63
KEGG_FOCAL_ADHESION	0.77	0.04	0.98	0.73	0.63
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	1.00	0.59	0.63	0.30	0.63
BIOCARTA_RB_PATHWAY	0.96	1.00	0.10	0.47	0.6325
PID_TOLL_ENDOGENOUS_PATHWAY	0.69	0.54	0.75	0.55	0.6325
BIOCARTA_ECM_PATHWAY	0.92	0.73	0.62	0.26	0.6325
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.16	0.94	0.63	0.80	0.6325
REACTOME_L1CAM_INTERACTIONS	0.83	0.67	0.54	0.49	0.6325
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.87	0.03	0.98	0.65	0.6325
PID_WNT_CANONICAL_PATHWAY	0.85	0.12	0.80	0.77	0.635
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.55	0.95	0.51	0.53	0.635
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.86	0.09	0.87	0.72	0.635
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	0.57	0.12	0.96	0.90	0.6375
BIOCARTA_RAS_PATHWAY	0.89	0.31	0.76	0.59	0.6375
PID_ERBB1_INTERNALIZATION_PATHWAY	0.72	0.64	0.63	0.56	0.6375
KEGG_DNA_REPLICATION	0.88	0.99	0.31	0.37	0.6375
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.87	0.66	0.86	0.16	0.6375
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.86	0.60	0.80	0.29	0.6375
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.43	0.51	0.73	0.89	0.64
REACTOME_REGULATORY_RNA_PATHWAYS	0.60	0.73	0.60	0.63	0.64
SA_B_CELL_RECEPTOR_COMPLEXES	0.35	0.96	0.68	0.57	0.64
PID_FAK_PATHWAY	0.92	0.02	0.95	0.67	0.64
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.22	0.45	0.99	0.91	0.6425
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.85	0.08	0.68	0.96	0.6425
BIOCARTA_AKT_PATHWAY	0.77	0.60	0.60	0.60	0.6425
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	0.65	0.07	0.93	0.92	0.6425
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.35	0.42	0.83	0.98	0.645
ST_WNT_BETA_CATENIN_PATHWAY	0.28	0.39	1.00	0.91	0.645
PID_S1P_S1P1_PATHWAY	0.59	0.77	0.50	0.72	0.645
PID_IL2_1PATHWAY	0.96	0.95	0.35	0.32	0.645
PID_EPOPATHWAY	0.65	0.46	0.74	0.73	0.645
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	1.00	0.00	0.90	0.68	0.645
BIOCARTA_ERK_PATHWAY	0.89	0.76	0.53	0.40	0.645
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.84	0.03	0.78	0.93	0.645
BIOCARTA_ACTINY_PATHWAY	0.70	0.62	0.70	0.57	0.6475
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	0.52	0.90	0.74	0.43	0.6475
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	0.77	0.44	0.68	0.70	0.6475
REACTOME_SIGNALING_BY_ERBB2	0.91	0.20	0.85	0.63	0.6475
KEGG_GAP_JUNCTION	0.87	0.54	0.36	0.82	0.6475
REACTOME_CELL_JUNCTION_ORGANIZATION	0.97	0.49	0.78	0.36	0.65
REACTOME_SIGNALING_BY_NOTCH1	0.82	0.11	0.87	0.81	0.6525
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.71	0.07	0.90	0.93	0.6525
KEGG_TIGHT_JUNCTION	0.57	0.25	0.92	0.87	0.6525
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.04	0.99	0.81	0.77	0.6525
PID_AR_PATHWAY	0.16	0.49	1.00	0.97	0.655
REACTOME_GLUCONEOGENESIS	0.71	0.42	0.58	0.91	0.655
BIOCARTA_MTOR_PATHWAY	0.33	0.43	0.96	0.90	0.655
REACTOME_PLATELET_SENSITIZATION_BY_LDL	0.36	0.54	0.90	0.82	0.655
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.38	0.84	0.71	0.69	0.655
PID_KITPATHWAY	0.84	0.38	0.92	0.49	0.6575
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.42	0.66	0.73	0.82	0.6575
REACTOME_REGULATION_OF_KIT_SIGNALING	0.29	1.00	0.96	0.38	0.6575
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	0.23	0.41	1.00	0.99	0.6575
PID_LKB1_PATHWAY	0.78	0.13	0.92	0.81	0.66
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.76	0.92	0.73	0.23	0.66
REACTOME_INSULIN_RECEPTOR_RECYCLING	0.25	0.52	0.96	0.91	0.66
PID_VEGF_VEGFR_PATHWAY	0.84	0.41	0.74	0.65	0.66
BIOCARTA_HIVNEF_PATHWAY	0.70	0.92	0.36	0.66	0.66
BIOCARTA_TOB1_PATHWAY	0.84	0.13	0.98	0.70	0.6625
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.45	0.90	0.63	0.67	0.6625
REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER	0.95	0.95	0.32	0.43	0.6625
PID_RXR_VDR_PATHWAY	0.78	0.01	0.87	0.99	0.6625
BIOCARTA_PS1_PATHWAY	0.59	0.26	0.91	0.89	0.6625
PID_LYMPHANGIOGENESIS_PATHWAY	0.69	0.59	0.70	0.67	0.6625
REACTOME_INFLAMMASOMES	0.99	0.48	0.29	0.89	0.6625
PID_RHOA_REG_PATHWAY	0.84	0.58	0.33	0.91	0.665
BIOCARTA_MONOCYTE_PATHWAY	0.58	0.78	0.60	0.70	0.665
PID_S1P_S1P2_PATHWAY	0.29	0.95	0.60	0.82	0.665
PID_IGF1_PATHWAY	0.94	0.13	0.65	0.94	0.665
PID_TRKRPATHWAY	0.80	0.59	0.60	0.67	0.665
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.61	0.77	0.92	0.36	0.665
REACTOME_NETRIN1_SIGNALING	0.57	0.63	0.73	0.73	0.665
PID_PTP1BPATHWAY	0.68	0.47	0.86	0.66	0.6675
KEGG_HISTIDINE_METABOLISM	0.66	0.40	0.81	0.80	0.6675
REACTOME_PI_3K_CASCADE	0.99	0.01	0.91	0.76	0.6675
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.28	0.76	0.97	0.66	0.6675
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR	0.69	0.98	0.78	0.23	0.67
REACTOME_DNA_REPAIR	1.00	0.86	0.25	0.57	0.67
BIOCARTA_STATHMIN_PATHWAY	1.00	0.98	0.21	0.49	0.67
REACTOME_FRS2_MEDIATED_CASCADE	0.97	0.01	0.90	0.80	0.67
PID_CDC42_PATHWAY	0.94	0.91	0.39	0.44	0.67
REACTOME_GLOBAL_GENOMIC_NER_GG_NER	0.94	0.77	0.32	0.65	0.67
SA_PTEN_PATHWAY	0.62	0.63	0.91	0.52	0.67
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.91	0.86	0.54	0.38	0.6725
REACTOME_DNA_STRAND_ELONGATION	0.94	0.99	0.30	0.46	0.6725
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.86	0.16	0.75	0.92	0.6725
PID_ARF6_TRAFFICKINGPATHWAY	0.23	0.73	0.86	0.87	0.6725
REACTOME_POTASSIUM_CHANNELS	0.67	0.91	0.99	0.12	0.6725
KEGG_FOLATE_BIOSYNTHESIS	0.92	0.98	0.31	0.49	0.675
BIOCARTA_KERATINOCYTE_PATHWAY	0.88	0.46	0.63	0.73	0.675
BIOCARTA_RACCYCD_PATHWAY	0.94	0.78	0.41	0.57	0.675
SIG_BCR_SIGNALING_PATHWAY	0.57	0.46	0.77	0.90	0.675
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.99	0.41	0.57	0.73	0.675
REACTOME_PI_METABOLISM	0.37	0.85	0.92	0.57	0.6775
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.67	0.08	1.00	0.96	0.6775
PID_ANTHRAXPATHWAY	0.90	0.74	0.36	0.71	0.6775
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.78	0.96	0.68	0.30	0.68
REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	0.97	0.64	0.37	0.74	0.68
BIOCARTA_ERK5_PATHWAY	0.93	0.79	0.60	0.40	0.68
PID_INTEGRIN_A9B1_PATHWAY	0.46	0.44	0.89	0.93	0.68
REACTOME_SYNTHESIS_OF_PE	0.41	0.87	0.66	0.79	0.6825
REACTOME_SIGNALING_BY_HIPPO	0.73	0.67	0.65	0.68	0.6825
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION	0.87	0.91	0.38	0.57	0.6825
REACTOME_MITOTIC_M_M_G1_PHASES	1.00	0.90	0.18	0.65	0.6825
PID_ARF6_PATHWAY	0.23	0.96	0.84	0.70	0.6825
REACTOME_GLYCOPROTEIN_HORMONES	0.92	0.22	0.95	0.65	0.685
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.36	0.54	0.91	0.93	0.685
BIOCARTA_CASPASE_PATHWAY	0.78	0.72	0.30	0.94	0.685
SA_CASPASE_CASCADE	0.79	0.62	0.36	0.97	0.685
REACTOME_SIGNALING_BY_ERBB4	0.61	0.51	0.85	0.77	0.685
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.90	0.08	0.97	0.79	0.685
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	0.52	0.50	0.92	0.80	0.685
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.11	0.84	0.91	0.88	0.685
BIOCARTA_NTHI_PATHWAY	0.80	0.14	0.97	0.84	0.6875
PID_NFAT_TFPATHWAY	0.83	0.78	0.52	0.62	0.6875
BIOCARTA_MCALPAIN_PATHWAY	0.70	0.97	0.73	0.35	0.6875
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.86	0.16	0.94	0.79	0.6875
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	0.77	0.83	0.67	0.48	0.6875
REACTOME_PROTEIN_FOLDING	0.80	0.95	0.44	0.56	0.6875
REACTOME_CHROMOSOME_MAINTENANCE	1.00	1.00	0.09	0.66	0.6875
SA_PROGRAMMED_CELL_DEATH	0.87	0.56	0.51	0.82	0.69
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.11	0.73	0.98	0.94	0.69
REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	0.65	0.53	0.96	0.62	0.69
REACTOME_SIGNAL_ATTENUATION	0.69	0.40	0.78	0.90	0.6925
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.97	0.43	0.38	0.99	0.6925
PID_RHOA_PATHWAY	0.59	0.85	0.57	0.76	0.6925
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM	0.70	0.48	0.69	0.91	0.695
REACTOME_PURINE_CATABOLISM	0.71	0.64	0.72	0.71	0.695
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	0.81	0.93	0.48	0.56	0.695
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.81	0.88	0.64	0.46	0.6975
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	0.83	0.43	0.63	0.90	0.6975
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.54	0.76	0.92	0.57	0.6975
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	0.83	0.79	0.32	0.85	0.6975
ST_PAC1_RECEPTOR_PATHWAY	0.71	0.61	0.73	0.75	0.7
REACTOME_DEVELOPMENTAL_BIOLOGY	0.67	0.40	0.84	0.89	0.7
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.82	0.51	0.72	0.75	0.7
BIOCARTA_AMI_PATHWAY	0.64	0.77	0.82	0.57	0.7
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.15	0.73	0.98	0.95	0.7025
KEGG_SPHINGOLIPID_METABOLISM	0.90	0.42	0.73	0.76	0.7025
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	0.93	0.63	0.94	0.31	0.7025
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.29	0.63	1.00	0.90	0.705
REACTOME_METABOLISM_OF_NON_CODING_RNA	0.93	0.85	0.50	0.54	0.705
PID_SYNDECAN_3_PATHWAY	0.53	1.00	0.96	0.33	0.705
BIOCARTA_LECTIN_PATHWAY	0.97	0.41	0.74	0.70	0.705
PID_SYNDECAN_1_PATHWAY	0.96	0.76	0.67	0.43	0.705
REACTOME_RECYCLING_PATHWAY_OF_L1	0.97	0.97	0.27	0.61	0.705
REACTOME_PHASE_II_CONJUGATION	0.65	0.20	1.00	0.97	0.705
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.90	0.47	0.96	0.49	0.705
PID_RAC1_PATHWAY	0.99	0.98	0.24	0.61	0.705
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.65	0.65	0.87	0.66	0.7075
PID_CDC42_REG_PATHWAY	0.88	0.78	0.49	0.68	0.7075
PID_TGFBRPATHWAY	0.82	0.28	0.98	0.75	0.7075
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	0.84	0.56	0.67	0.76	0.7075
REACTOME_AMINE_DERIVED_HORMONES	0.86	0.05	0.94	0.98	0.7075
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.57	0.42	0.91	0.94	0.71
REACTOME_CGMP_EFFECTS	0.94	0.97	0.67	0.26	0.71
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.73	0.49	0.68	0.94	0.71
KEGG_TYPE_II_DIABETES_MELLITUS	0.77	0.47	0.93	0.67	0.71
KEGG_ARACHIDONIC_ACID_METABOLISM	0.72	0.39	0.79	0.94	0.71
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	0.69	0.27	0.98	0.90	0.71
BIOCARTA_TGFB_PATHWAY	0.42	0.63	0.98	0.81	0.71
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.45	0.96	0.77	0.66	0.71
REACTOME_SIGNALING_BY_PDGF	0.91	0.19	0.91	0.84	0.7125
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.69	0.73	0.44	1.00	0.715
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.99	0.04	0.87	0.96	0.715
REACTOME_PHOSPHOLIPID_METABOLISM	0.42	0.47	0.98	0.99	0.715
KEGG_VIBRIO_CHOLERAE_INFECTION	0.79	0.55	0.67	0.85	0.715
REACTOME_GLUTATHIONE_CONJUGATION	0.62	0.42	0.90	0.93	0.7175
REACTOME_SPHINGOLIPID_METABOLISM	0.79	0.47	0.77	0.84	0.7175
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.53	0.56	0.89	0.89	0.7175
ST_GA12_PATHWAY	0.53	0.98	0.47	0.89	0.7175
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.82	0.36	0.99	0.70	0.7175
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	0.65	0.98	0.88	0.36	0.7175
REACTOME_ANDROGEN_BIOSYNTHESIS	0.49	0.84	0.89	0.65	0.7175
