Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average AUC
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.94506114	0.99184103	0.98300686	0.99458939	0.98808246	0.99374597	0.99483066	0.97443449	0.94940312	0.98978534	0.97095719	0.98857366	0.980359275833
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	0.94800638	0.98382360	0.98567047	0.99182736	0.98791135	0.99011391	0.99489008	0.95039124	0.97139578	0.99400080	0.97400673	0.99219011	0.9803523175
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.95007443	0.98361979	0.98431413	0.99211725	0.99330905	0.98714808	0.99289874	0.95115948	0.96533517	0.99483656	0.97585378	0.99355107	0.980351460833
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	0.93894737	0.98769080	0.98562003	0.99452457	0.98652980	0.99398238	0.99494949	0.97198748	0.95482094	0.99051733	0.97924964	0.98521899	0.980336568333
PID_WNT_NONCANONICAL_PATHWAY	0.94963849	0.98897370	0.98704317	0.99410504	0.98812110	0.99211262	0.99494949	0.96160998	0.95335170	0.99176037	0.97706590	0.98501569	0.980312270833
PID_SHP2_PATHWAY	0.94145136	0.99021949	0.98332720	0.99423648	0.98150742	0.99273587	0.99494949	0.97668232	0.95564738	0.99155779	0.97436267	0.98679696	0.980289535833
PID_RAC1_REG_PATHWAY	0.94160021	0.99068826	0.98529833	0.99433731	0.98367224	0.99258543	0.99494949	0.97454830	0.95514233	0.98718915	0.97642136	0.98678371	0.98026801
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.94483785	0.99014849	0.98548508	0.99452097	0.98350500	0.99271438	0.99494949	0.97816190	0.94104683	0.99138061	0.97538240	0.99102696	0.98026333
ST_B_CELL_ANTIGEN_RECEPTOR	0.94627858	0.99104101	0.98760207	0.99337943	0.98129271	0.99363851	0.99494949	0.98086499	0.94040404	0.99195519	0.97481481	0.98691711	0.980261495
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.93331738	0.98910487	0.98560504	0.99476944	0.98755699	0.98777133	0.99494949	0.96740646	0.96000918	0.99272036	0.97491101	0.99366757	0.980149093333
KEGG_THYROID_CANCER	0.95400851	0.98394260	0.98877575	0.99410144	0.98526301	0.99189770	0.99465241	0.96310997	0.94784206	0.99377210	0.97528620	0.98791625	0.980047333333
PID_ERBB1_INTERNALIZATION_PATHWAY	0.95894737	0.98895832	0.98586540	0.99477124	0.98295192	0.99041479	0.99494949	0.97212975	0.94040404	0.99209919	0.97425685	0.98477767	0.980043835833
PID_ARF6_TRAFFICKINGPATHWAY	0.92761829	0.98919446	0.98472171	0.99489008	0.98760170	0.99335912	0.99494949	0.97710912	0.95238751	0.98971521	0.98031746	0.98863259	0.980041395
PID_FOXM1PATHWAY	0.94970229	0.98879310	0.98325768	0.99239273	0.97847326	0.99191919	0.99494949	0.97272727	0.95651974	0.99302388	0.97538240	0.98294935	0.980007531667
KEGG_MELANOMA	0.93723551	0.99219587	0.98515247	0.99465241	0.98299939	0.99426177	0.99489008	0.98029592	0.94853076	0.99161002	0.97105339	0.98602488	0.979908539167
KEGG_ECM_RECEPTOR_INTERACTION	0.93259968	0.99132216	0.98200357	0.99476584	0.98687531	0.99368150	0.99494949	0.98274292	0.95064279	0.99248459	0.97133237	0.98488458	0.979857066667
BIOCARTA_CARM_ER_PATHWAY	0.95406167	0.98560356	0.98883982	0.99147806	0.98038914	0.99163980	0.99494949	0.96552852	0.95698398	0.99289965	0.96714767	0.98871163	0.979852749167
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.95757576	0.99002389	0.98961545	0.99464340	0.98355743	0.99350956	0.99448773	0.98458062	0.93292011	0.99119426	0.96852333	0.97740407	0.979836300833
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	0.94855928	0.99249412	0.98380022	0.99465241	0.98592206	0.99398238	0.99489008	0.97380851	0.94214876	0.98807996	0.97479557	0.98435645	0.979790816667
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	0.93115896	0.99057642	0.98584495	0.99391239	0.98296517	0.99353106	0.99460148	0.97565799	0.95895317	0.98999640	0.97476671	0.98505087	0.9797512975
PID_TNFPATHWAY	0.92155768	0.98734223	0.98735125	0.99476584	0.98458685	0.99366000	0.99494949	0.97506046	0.95881543	0.99426409	0.97561328	0.98874681	0.9797261175
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.93913344	0.99292011	0.98534604	0.99471002	0.98744273	0.99211262	0.99494949	0.96857305	0.94908173	0.99056392	0.97414141	0.98767777	0.9797210275
PID_ILK_PATHWAY	0.94810739	0.99080554	0.98461675	0.99476944	0.98535188	0.99454116	0.99494949	0.96845924	0.94476584	0.98932018	0.97454545	0.98622864	0.979705083333
REACTOME_PKB_MEDIATED_EVENTS	0.94328017	0.98540759	0.98313090	0.99470822	0.99116244	0.99123146	0.99494949	0.96618296	0.95224977	0.98842301	0.97546898	0.99019366	0.979699054167
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.93849016	0.98985270	0.98703090	0.99470822	0.98678258	0.99286482	0.99489008	0.98295014	0.96000918	0.98868630	0.96900433	0.97106524	0.979694554167
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	0.93217438	0.98972422	0.98662468	0.99378635	0.98737815	0.99273587	0.99494949	0.97779200	0.95091827	0.99188249	0.97517076	0.98293062	0.979672273333
REACTOME_SIGNAL_AMPLIFICATION	0.95101010	0.98778109	0.98296324	0.99458759	0.98765414	0.99338061	0.99494949	0.96831697	0.94770432	0.98628987	0.97327561	0.98733376	0.979603899167
REACTOME_RNA_POL_I_TRANSCRIPTION	0.93671983	0.98607733	0.98460039	0.99286807	0.98286364	0.99316570	0.99454206	0.95672402	0.95909091	0.99430574	0.97924964	0.99467721	0.979573711667
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.94399787	0.99050177	0.98460175	0.99220008	0.98207264	0.98944767	0.99483236	0.96840233	0.95629017	0.99214154	0.97528620	0.98488869	0.979555255833
BIOCARTA_IL2RB_PATHWAY	0.93852206	0.98983172	0.98568001	0.99208844	0.98118231	0.99166129	0.99494949	0.97446294	0.95146924	0.99229119	0.97589226	0.98637666	0.9795339675
PID_AR_NONGENOMIC_PATHWAY	0.95194577	0.98664442	0.98675282	0.99476944	0.98401612	0.99226306	0.99494949	0.97212975	0.95004591	0.98396403	0.97483405	0.98188047	0.9795162775
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	0.95532164	0.98419793	0.98228983	0.99464700	0.98515483	0.99329465	0.99494949	0.97070707	0.95142332	0.98869689	0.97506494	0.97791483	0.979471868333
PID_RET_PATHWAY	0.94309410	0.99067736	0.98448452	0.99423108	0.98398300	0.99170428	0.99494949	0.97215820	0.94609734	0.99203284	0.97645984	0.98372508	0.9794664275
KEGG_LYSINE_DEGRADATION	0.93433812	0.99258811	0.98693957	0.99447415	0.98298283	0.99374597	0.99489008	0.97383696	0.94696970	0.99109332	0.97242905	0.98928498	0.979464403333
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.94350877	0.98901454	0.98826593	0.99446155	0.97977811	0.99338061	0.99489008	0.97582871	0.94389348	0.99366199	0.97480519	0.98187026	0.979446601667
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.92814992	0.99202364	0.98136289	0.99494949	0.98705636	0.99415431	0.99424667	0.97417840	0.94940312	0.99152885	0.97346801	0.99179310	0.979359563333
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.92780436	0.98351497	0.98666830	0.99213346	0.98757465	0.99297228	0.99489177	0.95354958	0.97171717	0.99437986	0.97459355	0.99231026	0.9793425175
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.93116427	0.98923813	0.98615984	0.99372513	0.98557653	0.99318719	0.99494949	0.98029592	0.94508724	0.99323635	0.97468013	0.98386854	0.979264063333
SIG_CD40PATHWAYMAP	0.93036683	0.98838690	0.98464265	0.99423288	0.98676657	0.99323017	0.99494949	0.96544316	0.96065197	0.99289541	0.97550746	0.98399645	0.979255828333
KEGG_GLUTATHIONE_METABOLISM	0.94253589	0.99166210	0.98489892	0.99476944	0.98804548	0.99329465	0.99494949	0.96231327	0.94430670	0.98965052	0.97683502	0.98778513	0.979253884167
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.95293993	0.98504670	0.98225712	0.99237833	0.98025777	0.98959811	0.99494949	0.97013800	0.94380165	0.99264836	0.97881674	0.98817117	0.979250280833
PID_FASPATHWAY	0.94116427	0.98965011	0.98533241	0.99421848	0.98087708	0.99211262	0.99494949	0.97671077	0.94439853	0.99252059	0.97525734	0.98380229	0.979249498333
PID_IL6_7PATHWAY	0.92118554	0.99134105	0.98773429	0.99214426	0.98396845	0.99277994	0.99494949	0.98095035	0.95151515	0.99351164	0.97250601	0.98838178	0.979247329167
PID_IFNGPATHWAY	0.94325359	0.98726947	0.98795104	0.99099552	0.97418890	0.99301526	0.99494949	0.97764974	0.95068871	0.99335987	0.97261183	0.98486173	0.979232929167
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.94321637	0.98954661	0.98856718	0.99446335	0.98223216	0.99344509	0.99494949	0.97372315	0.94421488	0.99085615	0.96854257	0.98686046	0.979218121667
REACTOME_IL1_SIGNALING	0.94271132	0.98905492	0.98710042	0.98971894	0.98242424	0.99127445	0.99494949	0.97210129	0.95151515	0.99078980	0.97193843	0.98658955	0.979180666667
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	0.95332802	0.98554458	0.98688096	0.99289508	0.98179445	0.98852353	0.99494949	0.97019491	0.94807163	0.98957358	0.97507456	0.98317229	0.979166923333
BIOCARTA_MET_PATHWAY	0.95333865	0.98397381	0.98069630	0.99278885	0.98287575	0.99234902	0.99494949	0.96865842	0.94719927	0.99213448	0.97705628	0.98392564	0.979162163333
PID_INSULIN_PATHWAY	0.92607124	0.99051461	0.98133426	0.99367111	0.98695314	0.99097357	0.99494949	0.97696685	0.95156107	0.99226789	0.97953824	0.98432630	0.979093980833
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.94344498	0.98530105	0.98123339	0.99427609	0.98808246	0.98983452	0.99313641	0.97648314	0.94403122	0.99096768	0.97302549	0.98918493	0.979083446667
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.95236576	0.98709788	0.98419281	0.99381696	0.98414693	0.99009241	0.99494949	0.97272727	0.94555240	0.99110321	0.97258297	0.98024158	0.9790724725
ST_G_ALPHA_I_PATHWAY	0.95806486	0.98728116	0.98745621	0.99434271	0.98533863	0.99151085	0.99494949	0.97181676	0.93723600	0.99088862	0.96981241	0.98014290	0.97907005
REACTOME_TCR_SIGNALING	0.94318979	0.98970548	0.98455677	0.99357569	0.97557929	0.99170428	0.99494949	0.97335325	0.94729109	0.99282271	0.97569024	0.98628437	0.9790585375
PID_GMCSF_PATHWAY	0.95503456	0.98795800	0.98716313	0.99112876	0.98132086	0.99065119	0.99494949	0.98066581	0.93939394	0.99091968	0.96901395	0.98037224	0.979047634167
PID_TCPTP_PATHWAY	0.94492291	0.99266299	0.98518110	0.99428870	0.97797483	0.99157533	0.99494949	0.98220230	0.94540863	0.99411445	0.96795925	0.97729077	0.979044229167
BIOCARTA_AT1R_PATHWAY	0.95522594	0.98416135	0.98593629	0.99342984	0.97966772	0.99189770	0.99494949	0.96632522	0.94784206	0.99141944	0.97765272	0.97950971	0.979001456667
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	0.92462520	0.98671310	0.98572772	0.99341904	0.98584258	0.99078014	0.99466089	0.96544316	0.96033058	0.99396339	0.97428571	0.99167569	0.9789556
BIOCARTA_ALK_PATHWAY	0.93198299	0.99036149	0.98356575	0.99429410	0.98578407	0.99314421	0.99494949	0.97571490	0.95160698	0.98992864	0.97780664	0.97829950	0.97895323
REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER	0.93434875	0.98462250	0.98560640	0.99458759	0.98458575	0.98781431	0.99489008	0.96680893	0.95243343	0.99249518	0.97533430	0.99360681	0.978927835833
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	0.92459330	0.98379822	0.98588176	0.99231711	0.98784898	0.99037180	0.99494949	0.95024466	0.97382920	0.99422810	0.97673882	0.99225132	0.978921063333
BIOCARTA_TCR_PATHWAY	0.93484317	0.98836074	0.98486484	0.99477124	0.98403654	0.99254245	0.99494949	0.97466211	0.94912764	0.99339446	0.97656566	0.97876960	0.978907328333
BIOCARTA_BIOPEPTIDES_PATHWAY	0.93942052	0.99117420	0.98479941	0.99494949	0.98306397	0.99402536	0.99494949	0.96621141	0.94100092	0.99177378	0.97740260	0.98771661	0.97887398
KEGG_PYRUVATE_METABOLISM	0.94619883	0.98997268	0.98580406	0.99097211	0.97949661	0.99391790	0.99494949	0.97386541	0.94554637	0.98925382	0.97455507	0.98066646	0.9787665675
PID_IL4_2PATHWAY	0.92647528	0.99305897	0.98580406	0.99421488	0.98140476	0.99187621	0.99494949	0.97588562	0.95188246	0.99279377	0.97411255	0.98223163	0.97872414
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.91683147	0.98932085	0.98501888	0.99391419	0.98735221	0.99456265	0.99471182	0.97156068	0.95647383	0.99126556	0.97300625	0.99035721	0.978697966667
KEGG_GLYCEROLIPID_METABOLISM	0.93731526	0.98953392	0.98486757	0.99482886	0.98588287	0.99314421	0.99494949	0.97079243	0.94237833	0.99289753	0.96928331	0.98732889	0.9786002225
REACTOME_GAB1_SIGNALOSOME	0.94615630	0.98945038	0.98355076	0.99080286	0.97978197	0.98953363	0.99489008	0.97010955	0.94750026	0.99093591	0.97452621	0.98549447	0.978561031667
PID_HNF3BPATHWAY	0.93375864	0.99142400	0.98524925	0.99421848	0.97850927	0.99340319	0.99477124	0.98322663	0.93223140	0.99009452	0.97467051	0.99084605	0.978533598333
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.94750665	0.98881408	0.98370070	0.99158609	0.98262737	0.99331614	0.99494949	0.96928439	0.94224059	0.99074815	0.97577682	0.98143580	0.978498855833
REACTOME_POTASSIUM_CHANNELS	0.92592238	0.99041696	0.98379476	0.99415366	0.98765910	0.99413282	0.99483066	0.97580026	0.94052184	0.98900183	0.97828764	0.98694041	0.978455193333
PID_FGF_PATHWAY	0.93422648	0.99175301	0.98547690	0.99483066	0.98491858	0.99344509	0.99494949	0.96734955	0.94380165	0.99203425	0.97250601	0.98605138	0.978445254167
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.94793195	0.98723062	0.98649791	0.99397360	0.98635039	0.99159682	0.99489177	0.97295490	0.95004591	0.99251424	0.95477633	0.98239382	0.978429855
REACTOME_SIGNALLING_TO_ERKS	0.94579479	0.98232756	0.98644611	0.99464881	0.98558627	0.99280034	0.99494949	0.96888604	0.94384757	0.99186625	0.97307359	0.98076240	0.978415768333
BIOCARTA_MYOSIN_PATHWAY	0.93305157	0.98907396	0.98589403	0.99476584	0.98504167	0.99258543	0.99494949	0.96035486	0.95555556	0.98844701	0.97474747	0.98558493	0.978337651667
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.94500266	0.98938207	0.98333674	0.98994040	0.98129823	0.98805072	0.99471692	0.96644709	0.95252525	0.99104744	0.97340067	0.98476397	0.978326013333
REACTOME_DEADENYLATION_OF_MRNA	0.93688464	0.97836420	0.98338309	0.99211185	0.98376000	0.99243499	0.99494949	0.95980936	0.96528926	0.99039733	0.97795094	0.98451955	0.978321225
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.94311536	0.97767415	0.98588040	0.99465061	0.98138930	0.99275736	0.99483066	0.97173140	0.94733701	0.99109968	0.97537278	0.98379316	0.978302655833
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.95077087	0.98982613	0.98206355	0.99464340	0.97737539	0.99363851	0.99494949	0.97073552	0.94724518	0.98284311	0.97180375	0.98367986	0.978297896667
ST_GA13_PATHWAY	0.92569910	0.98828925	0.98565139	0.99434091	0.98835127	0.99400387	0.99494949	0.97092292	0.95711662	0.98625387	0.96924483	0.98462783	0.9782876125
PID_PI3KPLCTRKPATHWAY	0.94350346	0.98363972	0.98237026	0.99483066	0.98931501	0.99112401	0.99489008	0.96504481	0.94770432	0.98883595	0.97528620	0.98186021	0.978200390833
BIOCARTA_FCER1_PATHWAY	0.93399787	0.98916489	0.98455541	0.99458579	0.98451675	0.99166129	0.99494949	0.97540191	0.94862259	0.99077780	0.97355459	0.97640402	0.9781827
PID_INTEGRIN1_PATHWAY	0.93448698	0.99026510	0.98200357	0.99458399	0.98550643	0.99383194	0.99494949	0.98257220	0.94389348	0.98837007	0.96371332	0.98396173	0.978178191667
KEGG_VIRAL_MYOCARDITIS	0.90911749	0.99032722	0.98552461	0.99446335	0.97818182	0.99338061	0.99494949	0.96982501	0.96744720	0.99000134	0.97510342	0.98922879	0.978129195833
PID_ARF6_PATHWAY	0.94062201	0.98699038	0.98645429	0.99327860	0.98553017	0.99185472	0.99494949	0.97295490	0.94334252	0.98758797	0.97078403	0.98319559	0.9781287225
PID_CD8TCRPATHWAY	0.94240298	0.98864954	0.98377568	0.99464340	0.98343269	0.99430475	0.99494949	0.97107697	0.93650138	0.99050110	0.97036075	0.98666082	0.9781049625
BIOCARTA_IL1R_PATHWAY	0.94594896	0.99022621	0.98718903	0.99156089	0.98059723	0.99348807	0.99494949	0.97130460	0.93787879	0.98757809	0.97167869	0.98445376	0.978071150833
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.94202020	0.98186648	0.98677599	0.99215866	0.98846884	0.99060821	0.99483066	0.93311303	0.96230487	0.99270694	0.97748918	0.99449447	0.978069794167
PID_BMPPATHWAY	0.92158426	0.99101204	0.98955956	0.99421488	0.98491803	0.99181173	0.99489008	0.96880068	0.95137741	0.99314317	0.96903319	0.98616011	0.978042095
REACTOME_G1_PHASE	0.92297714	0.98443929	0.98152238	0.99153208	0.98898769	0.99290780	0.99494949	0.97033717	0.95505051	0.99043404	0.97459355	0.98864630	0.978031453333
BIOCARTA_FAS_PATHWAY	0.92279107	0.98726175	0.98794286	0.99470822	0.99055197	0.99067268	0.99494949	0.97218666	0.96244261	0.97983398	0.97733526	0.97522397	0.97799171
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.93637427	0.98579401	0.98423097	0.99470462	0.98448529	0.99050075	0.99494949	0.95875658	0.94834711	0.99169473	0.97332371	0.99205214	0.9779344725
BIOCARTA_INTEGRIN_PATHWAY	0.95239766	0.98184879	0.98087351	0.99494949	0.97988795	0.99318719	0.99489177	0.96274008	0.94540863	0.98909712	0.97310245	0.98666584	0.977920873333
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.92671451	0.97883006	0.98738396	0.99433731	0.98485124	0.99475607	0.99483405	0.97278418	0.94595960	0.99084768	0.97348725	0.99011828	0.9779086825
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_	0.93053163	0.98295199	0.98619120	0.99434451	0.98428713	0.98888889	0.99489177	0.96481719	0.94591368	0.99253189	0.97615200	0.99309376	0.97788297
PID_S1P_S1P3_PATHWAY	0.94998405	0.98599819	0.98657152	0.99318317	0.98473920	0.99230604	0.99494949	0.96481719	0.93884298	0.98680092	0.97021645	0.98583437	0.977853630833
KEGG_ARACHIDONIC_ACID_METABOLISM	0.93106858	0.99088139	0.98350032	0.99476944	0.98317933	0.99041479	0.99471182	0.97531655	0.94329660	0.99046863	0.97278499	0.98216813	0.977713380833
PID_AURORA_B_PATHWAY	0.95066454	0.97883999	0.98251476	0.99349286	0.98018712	0.99198367	0.99466089	0.95646851	0.95472911	0.98896018	0.97518038	0.98438798	0.977672499167
KEGG_PROTEASOME	0.93574163	0.98399509	0.98588858	0.99035813	0.98242203	0.98921126	0.99494949	0.94949739	0.95812672	0.99377422	0.97589226	0.99204117	0.977658164167
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.91736310	0.99029347	0.98522199	0.99452097	0.98351272	0.99406834	0.99494949	0.97295490	0.94715335	0.99225589	0.97397787	0.98559041	0.977655208333
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.91385965	0.99223364	0.98401014	0.99494949	0.98673566	0.99297228	0.99489008	0.97306872	0.94724518	0.98882113	0.97572872	0.98730909	0.977651981667
PID_NFAT_TFPATHWAY	0.94074428	0.99156763	0.98223667	0.99229550	0.98391732	0.99228455	0.99494949	0.96638213	0.95280073	0.99207095	0.96462722	0.97782301	0.977641623333
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.92645401	0.98483221	0.98376205	0.99367111	0.99015455	0.99342360	0.99494949	0.96427657	0.95922865	0.99049757	0.97455507	0.97571189	0.9776263975
REACTOME_PROTEIN_FOLDING	0.90996810	0.99075418	0.98401968	0.99415546	0.98721367	0.99262841	0.99483066	0.97480438	0.94889807	0.99327376	0.96946609	0.99145640	0.977622405
REACTOME_TRNA_AMINOACYLATION	0.94251462	0.98617169	0.98435366	0.99178055	0.97592758	0.99155384	0.99494949	0.96567079	0.94219467	0.99373751	0.97356421	0.98898026	0.9776165725
REACTOME_PI_3K_CASCADE	0.93433812	0.99025697	0.98334628	0.99446335	0.97991279	0.99138190	0.99429760	0.96928439	0.94573003	0.98953123	0.97050505	0.98810721	0.977596243333
KEGG_N_GLYCAN_BIOSYNTHESIS	0.95448166	0.98379919	0.98730490	0.99476584	0.98814152	0.99260692	0.99494949	0.93593683	0.94458219	0.99286153	0.97584416	0.98567859	0.977579401667
PID_FANCONI_PATHWAY	0.92903243	0.98637342	0.98199676	0.99488828	0.98769719	0.99157533	0.99494949	0.96507327	0.95177069	0.99116179	0.97675806	0.97966504	0.977578479167
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.95142477	0.98534876	0.98015513	0.99428330	0.98667715	0.99370299	0.99489008	0.95801679	0.94371284	0.98357509	0.97349687	0.98532864	0.977551034167
REACTOME_MEIOTIC_SYNAPSIS	0.93013291	0.98628734	0.98057498	0.99311295	0.98766573	0.98673974	0.99494949	0.96387822	0.94591368	0.99426480	0.97453583	0.99245462	0.977542524167
PID_RETINOIC_ACID_PATHWAY	0.94294524	0.98519467	0.98719721	0.99385657	0.98137054	0.99264990	0.99494949	0.96988192	0.94265381	0.98705221	0.96906205	0.98364514	0.977538229167
KEGG_BLADDER_CANCER	0.93962786	0.98649369	0.98570864	0.99333261	0.98667329	0.99370299	0.99494949	0.96703656	0.94738292	0.99023710	0.96667629	0.97838311	0.977517045833
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	0.95139288	0.98497809	0.97977072	0.99434632	0.98217917	0.99340211	0.99494949	0.96715038	0.94430670	0.98200453	0.97680499	0.97841920	0.977475381667
BIOCARTA_GPCR_PATHWAY	0.91713450	0.99117472	0.98560231	0.99470642	0.98321576	0.99346658	0.99494949	0.97019491	0.94664830	0.99225589	0.97489177	0.98537569	0.977468028333
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.92626794	0.99062771	0.98275058	0.99428870	0.98316222	0.99163980	0.99483066	0.97625551	0.94995409	0.99195025	0.96794613	0.97945488	0.9774273725
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	0.94278044	0.98759203	0.98057498	0.99447235	0.98948777	0.99327316	0.99494949	0.96831697	0.93856749	0.98407767	0.96744589	0.98758366	0.977426825
PID_MAPKTRKPATHWAY	0.92861776	0.98120107	0.98604670	0.99446335	0.98532594	0.99320868	0.99494949	0.96490255	0.95491276	0.99262577	0.96968735	0.98302930	0.977414226667
REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	0.93783626	0.98425288	0.98646383	0.99324259	0.98195452	0.98961960	0.99483236	0.94603784	0.95183655	0.99282977	0.97613276	0.99385533	0.9774078575
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.92802764	0.98580244	0.98168732	0.99405823	0.98341006	0.99314421	0.99483066	0.97207284	0.94628099	0.99094086	0.96832131	0.99000315	0.9773816425
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.92223817	0.99182707	0.98601126	0.99305173	0.98736822	0.99271438	0.99471352	0.97005264	0.95642792	0.98985311	0.96431938	0.97980620	0.9773653
ST_T_CELL_SIGNAL_TRANSDUCTION	0.93077618	0.98604956	0.98653608	0.99423648	0.98180107	0.99400387	0.99494949	0.95998008	0.94963269	0.99225377	0.97497835	0.98301879	0.9773513675
PID_IL8CXCR2_PATHWAY	0.93212653	0.98125565	0.98437683	0.99439853	0.98667771	0.99000645	0.99494949	0.97884479	0.94802571	0.98376850	0.97230399	0.98111783	0.977321000833
REACTOME_METABOLISM_OF_NON_CODING_RNA	0.92523658	0.98946748	0.98596355	0.99111435	0.98529006	0.99073716	0.99465241	0.94945227	0.96060606	0.99404810	0.96866763	0.99248249	0.977309845
PID_IL1PATHWAY	0.92476874	0.98698530	0.98792377	0.99136283	0.98241486	0.99196217	0.99494949	0.96880068	0.94609734	0.99249659	0.97367003	0.98613772	0.97729746
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.94071770	0.98110947	0.98336809	0.98847657	0.97997516	0.99181173	0.99494949	0.96419121	0.95610652	0.98953335	0.97122655	0.98585904	0.977277073333
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	0.90866560	0.99253996	0.98486348	0.99488828	0.98747640	0.99299377	0.99489008	0.97221511	0.94219467	0.99066204	0.97714286	0.98852615	0.977254866667
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.94966507	0.98389281	0.98535558	0.99415906	0.98605674	0.99088760	0.99494949	0.96729264	0.93420569	0.98509977	0.97375661	0.98082179	0.977178570833
BIOCARTA_DEATH_PATHWAY	0.89814992	0.98731200	0.98684279	0.99435352	0.98772920	0.99254245	0.99494949	0.97511737	0.95651974	0.99092321	0.97629630	0.98534326	0.977173270833
REACTOME_NOD1_2_SIGNALING_PATHWAY	0.91987772	0.98781443	0.98163143	0.99294550	0.97797097	0.99086611	0.99494949	0.97338170	0.95651974	0.99218531	0.97151515	0.98600843	0.977138831667
PID_ATR_PATHWAY	0.92391813	0.98313811	0.98198176	0.99429410	0.98349727	0.98824414	0.99465580	0.97230047	0.95096419	0.99071215	0.97640212	0.98479092	0.97707493
PID_ERBB4_PATHWAY	0.91624668	0.99042838	0.98605897	0.99410324	0.98094221	0.99305824	0.99494949	0.97019491	0.95376492	0.99270624	0.96988937	0.98224031	0.97704858
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.92598086	0.98628353	0.98475443	0.99416266	0.98824088	0.99402536	0.99483066	0.96672357	0.95766758	0.98599835	0.96949495	0.97631813	0.97704008
REACTOME_IL_2_SIGNALING	0.93606061	0.98798965	0.98411783	0.99153028	0.98148642	0.98880292	0.99489008	0.96732110	0.95316804	0.99186837	0.96618567	0.97994874	0.976947475833
